y_id,x_id,n_orig,beta_orig,lr_orig,covs_orig,pval_orig,fdr_orig,n_vae,beta_vae,lr_vae,covs_vae,pval_vae,fdr_vae,log10p_orig,log10p_vae,diff_log10p
MDM2,TNFRSF14,706.0,0.055311593327687,8.688029259445784,16.0,0.0032030677031272,0.1446172457459181,1523.0,0.104185932182703,81.04240246025893,19.0,2.2092608936561416e-19,3.108982392597605e-16,2.494433881572269,18.655752994864265,16.161319113291995
MDM2,PRDM16,706.0,0.0614996527032989,10.38580132298148,16.0,0.0012698806315016,0.0740985625948114,1523.0,0.1033275735418852,74.38287747722734,19.0,6.434468185710326e-18,9.054905354340856e-15,2.8962371007106706,17.191487342086063,14.295250241375392
BRAF,MLH1,706.0,-0.037936057393581,5.463727333848965,16.0,0.0194151886742478,0.6150645959013104,1523.0,-0.0755636368628183,63.99695256871746,19.0,1.2461181608897625e-15,7.0143991276484715e-12,1.7118583846808204,14.904440774539353,13.192582389858533
BRAF,NKTR,706.0,-0.0537875518797215,10.21352474601008,16.0,0.0013941446817474,0.3276781258104091,1523.0,-0.0792677505300432,63.48169022167349,19.0,1.6186435851489645e-15,3.0371149136011735e-12,2.855692153623955,14.790848769556442,11.935156615932488
MDM2,ARHGEF10L,706.0,0.0650311100427399,9.253850857178122,16.0,0.0023500074851005,0.2012320754027616,1523.0,0.1051566008769717,62.310362796502886,19.0,2.933772424283292e-15,5.504734992096883e-12,2.6289307544377674,14.532573577851714,11.903642823413946
SOX10,MRTFA,706.0,-0.0468926455668752,9.81568721404983,16.0,0.0017302961019404,0.3815968403279533,1523.0,-0.0775721626284027,61.671456164729534,19.0,4.058207841465859e-15,2.2843651939611318e-11,2.7618795706081785,14.391665714303599,11.629786143695421
MDM2,PAX7,706.0,0.0673193349984,9.815424050688762,16.0,0.001730543705693,0.1651239658563455,1523.0,0.1036306019949031,60.85509941720829,19.0,6.143416335908962e-15,1.1527096851610516e-11,2.7618174279204997,14.211590051787557,11.449772623867057
BRAF,CTNNB1,706.0,-0.0422029847036883,7.292028626518004,16.0,0.0069261224218416,0.5760691849253343,1523.0,-0.0716411311013831,56.51364283342082,19.0,5.58098093415447e-14,1.5707670839177756e-10,2.1595098363989758,13.253289461125277,11.093779624726302
MDM2,LCK,706.0,0.0440049823004886,3.41880436460724,16.0,0.0644576813397495,0.4957229604157895,1523.0,0.0977907920466754,51.47680749504798,19.0,7.244792510516643e-13,1.0195234260424542e-09,1.19072532090658,12.139974048126286,10.949248727219706
SOX10,RBFOX2,706.0,-0.0341719642986562,4.854753902258835,16.0,0.0275700465714508,0.7873597404563858,1523.0,-0.0739914577387808,52.81659848351228,19.0,3.6619346269932393e-13,1.030651500767247e-09,1.5595625002813496,12.436289413007977,10.876726912726626
BRAF,EPHA3,706.0,-0.0421211280267481,9.238247135714118,16.0,0.0023701172738741,0.4310258246739883,1523.0,-0.0636335849563582,57.171777335505794,19.0,3.9936114143642304e-14,1.1240019325728125e-10,2.6252301644808984,13.398634195050557,10.773404030569658
EIF6,MTCP1,706.0,0.0438053739491262,7.60016099307586,16.0,0.0058363089219475,0.4626552353702393,1523.0,0.0520333399954733,54.69201291987247,19.0,1.4097807760902256e-13,1.4004432042229292e-10,2.2338617285081304,12.850848415810177,10.616986687302045
PPM1D,LCK,706.0,0.0479764748277247,9.221291982321873,16.0,0.0023921667864641,0.1650674519640051,1523.0,0.0643676675091682,55.84852813040016,19.0,7.827531989794873e-14,1.4687059190185108e-10,2.6212085437823633,13.106375148819575,10.485166605037211
SOX10,MLH1,706.0,-0.0474246538006672,7.372782788743279,16.0,0.0066218383190941,0.5442394496505174,1523.0,-0.076776010895555,53.21578290306024,19.0,2.988479853180049e-13,7.683992740310473e-10,2.179021427326396,12.524549667614213,10.345528240287816
MDM2,ARID1A,706.0,0.0560712301875465,6.668812575628863,16.0,0.00981145360027,0.2864470985626083,1523.0,0.0984043992666747,52.1989964224058,19.0,5.015175947261965e-13,1.41152127035688e-09,2.008266645646563,12.299713826036472,10.291447180389909
SOX10,FBLN1,706.0,-0.0419167047869097,8.01845346303162,16.0,0.0046303093453179,0.3379404300101866,1523.0,-0.0715699460442214,53.11626587864976,19.0,3.1437834023880033e-13,8.848178386021033e-10,2.3343899933283345,12.502547383239527,10.168157389911192
MDM2,MYCL,706.0,0.0459407238454949,5.5217459532186695,16.0,0.0187815046662756,0.5024563658931162,1523.0,0.0827770651241026,50.16064251954776,19.0,1.4166074801804742e-12,3.987041752967944e-09,1.7262696174967536,11.848750469305577,10.122480851808824
PPM1D,SFPQ,706.0,0.0427164394603174,7.397427911193063,16.0,0.0065317204133143,0.3103897317588119,1523.0,0.062379083569771,51.77545440463746,19.0,6.222486542919145e-13,1.7513188375045935e-09,2.1849724132730146,12.206036033946734,10.02106362067372
BRAF,RHOA,706.0,-0.0520679693537524,10.114010344039798,16.0,0.0014714642602145,0.2089253697870924,1523.0,-0.0724126670328344,54.17024131299058,19.0,1.8385021485157229e-13,3.4496428646650006e-10,2.832250281834927,12.735535858268342,9.903285576433415
MDM2,RRAGC,706.0,0.0450394413483113,4.744506990226455,16.0,0.0293919743091365,0.5033311525343511,1523.0,0.0867977006190229,48.10457280630726,19.0,4.04083015368866e-12,1.1372916467556734e-08,1.5317712406451371,11.393529403669204,9.861758163024067
MDM2,CDKN2A,706.0,0.0350303705337751,10.31383469224329,16.0,0.0013203664113337,0.084434732370867,1523.0,0.0534902657736426,54.18603153649383,19.0,1.823787339217082e-13,2.34724563044751e-10,2.8793055321741785,12.739025803501544,9.859720271327365
MDM2,HSPG2,706.0,0.0722430894278027,9.844650925998168,16.0,0.0017032630931782,0.1382053383436416,1523.0,0.1015569795748269,53.610369251624434,19.0,2.4446569929682783e-13,3.4402435533546085e-10,2.7687182639043804,12.611782067628816,9.843063803724435
FOXA1,STAT5B,706.0,0.0437680976979684,8.366076482570861,16.0,0.0038229009607377,0.2147783667538365,1523.0,0.061533670127884,51.03959535325703,19.0,9.052144348555165e-13,1.2738630134504255e-09,2.4176069530304773,12.043248529255408,9.62564157622493
SOX10,GNAI2,706.0,-0.0503445324458007,7.722260079010539,16.0,0.0054544072641184,0.3879301480662828,1523.0,-0.0775811585843715,50.17725877892644,19.0,1.4046627070510153e-12,2.635615459330055e-09,2.2632524377262806,11.852427947682264,9.589175509955982
SOX10,MYH9,706.0,-0.0377620996935359,5.662211987669252,16.0,0.0173342479918408,0.5336826675778352,1523.0,-0.0717788540793749,47.81697771865038,19.0,4.679223876151109e-12,8.779783732951531e-09,1.7610949945081926,11.329826175613315,9.568731181105122
SOX10,SATB1,706.0,-0.0479460796091631,8.54016532951573,16.0,0.0034739407733271,0.3534834095136895,1523.0,-0.0735278937523357,50.60507989758207,19.0,1.129523049934115e-12,3.1790426240395654e-09,2.4591775900445,11.947104902099039,9.487927312054538
FOXA1,STAT3,706.0,0.0472211711527496,9.594075480953506,16.0,0.0019520618669331,0.1767509805139242,1523.0,0.0613674395475114,51.446178264301125,19.0,7.358709417534266e-13,1.256623344510565e-09,2.7095064223036096,12.133198346259038,9.423691923955428
EIF6,CRLF2,706.0,-0.0333101591999809,1.927423695180096,16.0,0.1650405813891173,0.9745630039588716,1523.0,-0.0594162147826784,42.45163888840398,19.0,7.245167802216251e-11,1.1821261674810005e-07,0.7824092551412988,10.139951551568563,9.357542296427264
PPM1D,RPL5,706.0,0.0368005425947384,10.069257634067071,16.0,0.0015076376580575,0.2401331758694944,1523.0,0.0524450534220155,51.63778965428537,19.0,6.674445049964688e-13,9.392612796562804e-10,2.821703023197549,12.175584838091824,9.353881814894276
BRAF,GNAI2,706.0,-0.0505466225647253,9.141116153542043,16.0,0.0024992859126142,0.3055250708278669,1523.0,-0.0697398603386598,50.31032447893995,19.0,1.3125716110553889e-12,2.635615459330055e-09,2.6021840587322997,11.881876993112252,9.279692934379952
UBE2D3,TNFRSF14,706.0,0.0404088646379872,5.089103553584891,16.0,0.0240766343034275,0.2860952748565477,1523.0,0.0712775482481831,45.84233865941224,19.0,1.2816338638200036e-11,8.015907799380888e-09,1.6184042236272913,10.892236026013375,9.273831802386084
MDM2,SFPQ,706.0,0.0372926905863977,2.5050517014001343,16.0,0.1134817605738633,0.613852733235453,1523.0,0.0899235011203822,42.70189762474456,19.0,6.375041538104185e-11,7.177021763597692e-08,0.945073935111093,10.195516981135471,9.250443046024378
MDM4,RASA1,706.0,-0.0332000045325098,5.2736321450161086,16.0,0.0216507924144053,0.3637751419517198,1523.0,-0.0568695765852816,45.737011913071,19.0,1.3524310096445554e-11,1.5225668306578404e-08,1.6645262039339055,10.868884879932947,9.204358675999043
