y_id,x_id,beta_orig,beta_vae,fdr_orig,fdr_vae,diff_log10fdr,skew_orig,skew_mosa,target
SOX10,FHIT,-0.0677606297565658,-0.1106021112216475,0.052651691689425,4.077871337888411e-26,24.110978810443576,-3.568809132211381,-3.268146329614104,4
BRAF,FHIT,-0.0650175936747414,-0.0947966510452789,0.041932213484962,8.66792486513747e-24,21.684632650071954,-3.0540241178887255,-2.870717984612603,4
SOX10,EP300,-0.0535854144640635,-0.0852401840796908,0.1277058324289073,3.4921049353340656e-15,13.563123446819539,-3.568809132211381,-3.268146329614104,2
SOX10,MITF,-0.0544615389184883,-0.0736248495237203,0.0176444015606377,1.4157199747619256e-16,14.095629573442904,-3.568809132211381,-3.268146329614104,1
SOX10,EPHA3,-0.0501834088002319,-0.0793125063359614,0.3143513220138823,1.1173200724141345e-13,12.44923769028567,-3.568809132211381,-3.268146329614104,4
SOX10,PDGFB,-0.0543176027074672,-0.0840109812559815,0.2400755782950209,7.325930721014223e-14,12.51548517630358,-3.568809132211381,-3.268146329614104,4
BRAF,MLH1,-0.037936057393581,-0.0755636368628183,0.6150645959013104,7.0143991276484715e-12,10.942930254939613,-3.0540241178887255,-2.870717984612603,3
FOXA1,WNK4,0.056753199886514,0.0723135148974338,0.0495493095112317,8.152739795878859e-14,11.783734025267627,-5.757798300911661,-4.505002864955185,4
FOXA1,BRCA1,0.059117111423121,0.0717114568413673,0.0334648131512862,6.3899788178249e-14,11.719088985974242,-5.757798300911661,-4.505002864955185,2
FOXA1,ETV4,0.0554016594273782,0.0709729031841821,0.0739149725531347,6.902117795342503e-13,11.029750053044824,-5.757798300911661,-4.505002864955185,3
SOX10,CTNNB1,-0.0560520640629866,-0.0845356625590429,0.3486582253028764,8.17780926511921e-12,10.629762938153242,-3.568809132211381,-3.268146329614104,2
SOX10,MRTFA,-0.0468926455668752,-0.0775721626284027,0.3815968403279533,2.2843651939611318e-11,10.22283923567489,-3.568809132211381,-3.268146329614104,3
BRAF,CTNNB1,-0.0422029847036883,-0.0716411311013831,0.5760691849253343,1.5707670839177756e-10,9.564362852710179,-3.0540241178887255,-2.870717984612603,2
SOX10,RBFOX2,-0.0341719642986562,-0.0739914577387808,0.7873597404563858,1.030651500767247e-09,8.883061364541861,-3.568809132211381,-3.268146329614104,4
BRAF,EPHA3,-0.0421211280267481,-0.0636335849563582,0.4310258246739883,1.1240019325728125e-10,9.583736233508379,-3.0540241178887255,-2.870717984612603,3
SOX10,MLH1,-0.0474246538006672,-0.076776010895555,0.5442394496505174,7.683992740310473e-10,8.85020307290582,-3.568809132211381,-3.268146329614104,3
SOX10,FBLN1,-0.0419167047869097,-0.0715699460442214,0.3379404300101866,8.848178386021033e-10,8.581986282598153,-3.568809132211381,-3.268146329614104,4
BRAF,RHOA,-0.0520679693537524,-0.0724126670328344,0.2089253697870924,3.4496428646650006e-10,8.782217043846453,-3.0540241178887255,-2.870717984612603,2
FOXA1,STAT5B,0.0437680976979684,0.061533670127884,0.2147783667538365,1.2738630134504255e-09,8.22686780745824,-5.757798300911661,-4.505002864955185,2
SOX10,GNAI2,-0.0503445324458007,-0.0775811585843715,0.3879301480662828,2.635615459330055e-09,8.167871485932771,-3.568809132211381,-3.268146329614104,2
SOX10,MYH9,-0.0377620996935359,-0.0717788540793749,0.5336826675778352,8.779783732951531e-09,7.78379928011523,-3.568809132211381,-3.268146329614104,3
SOX10,SATB1,-0.0479460796091631,-0.0735278937523357,0.3534834095136895,3.1790426240395654e-09,8.046072684418936,-3.568809132211381,-3.268146329614104,3
FOXA1,STAT3,0.0472211711527496,0.0613674395475114,0.1767509805139242,1.256623344510565e-09,8.148156708275396,-5.757798300911661,-4.505002864955185,2
MAPK1,FHIT,-0.0577940122781868,-0.0604247419028387,0.0647140278805296,6.684475263128755e-11,8.98593111122729,-2.0148970943232696,-2.0492118014946588,3
BRAF,GNAI2,-0.0505466225647253,-0.0697398603386598,0.3055250708278669,2.635615459330055e-09,8.064164807192498,-3.0540241178887255,-2.870717984612603,2
SOX10,NPRL2,-0.0529797212624985,-0.0767160481353024,0.3304589288947847,6.530680604379722e-09,7.704159046598356,-3.568809132211381,-3.268146329614104,4
SOX10,RHOA,-0.0452918902855996,-0.0743948662589203,0.4356274482516406,1.339592427393403e-08,7.512142552365708,-3.568809132211381,-3.268146329614104,3
BRAF,NPRL2,-0.055535065189007,-0.0698348216098552,0.1986544939333565,6.530680604379722e-09,7.48313994978483,-3.0540241178887255,-2.870717984612603,3
SOX10,MYD88,-0.0444076990761637,-0.0709748823810269,0.5299125162696267,6.68871274052108e-08,6.898861632703428,-3.568809132211381,-3.268146329614104,3
BRAF,PBRM1,-0.0595104136022756,-0.0717967866363804,0.140002587019047,2.396910410102056e-09,7.766484259197263,-3.0540241178887255,-2.870717984612603,3
BRAF,MYD88,-0.0336908965256854,-0.0618498436586204,0.6659864006186976,1.3798558895126865e-07,6.683631629430365,-3.0540241178887255,-2.870717984612603,3
SOX10,PBRM1,-0.0543927549436227,-0.0767985196714396,0.2892488050986691,9.599377241863457e-09,7.479028514370115,-3.568809132211381,-3.268146329614104,2
BRAF,CACNA1D,-0.058785490474167,-0.0728800301822771,0.1700246777957452,5.622861153580938e-09,7.480554600989281,-3.0540241178887255,-2.870717984612603,2
SOX10,CACNA1D,-0.0580269298893192,-0.078794498548824,0.249157445500272,1.1953626941803512e-08,7.318974171692863,-3.568809132211381,-3.268146329614104,3
BRAF,PRKCD,-0.0597498014152655,-0.0727897481390056,0.1551653331097693,7.009882543859453e-09,7.345083957022959,-3.0540241178887255,-2.870717984612603,2
SOX10,PRKCD,-0.0589558606829503,-0.0785523609593231,0.2367659756817629,1.1365475095888676e-08,7.3187316978193,-3.568809132211381,-3.268146329614104,3
SOX10,CBLB,-0.038323240222903,-0.0630863242219526,0.3842832834710859,2.4982421403544444e-06,5.187016963068349,-3.568809132211381,-3.268146329614104,4
CTNNB1,BRCA2,-0.061155734813957,-0.0613396801796874,0.0100711796930089,8.752353965714847e-10,7.060955471617608,-3.058934743692637,-2.6342613566464346,2
SOX10,TGFBR2,-0.047521588896048,-0.0614911707981447,0.5478200818512189,1.5837416952234949e-07,6.538953597910707,-3.568809132211381,-3.268146329614104,3
