y_id,x_id,beta_orig,beta_vae,fdr_orig,fdr_vae,diff_log10fdr,skew_orig,skew_mosa,target
MYB,BCAR1,0.017566785387924,0.0258072776779343,0.0143556483846191,5.048679817635363e-17,14.453844983506466,-3.0797686973783125,-2.468002533825118,3
POU2AF1,BCAR1,-0.01554256220356,-0.0225849734328189,0.0198998245858608,1.4932516570416028e-16,14.12471624283193,-4.259839588084335,-2.725631022760905,3
SOX10,TPM1,0.0151394444374393,0.0246630225999275,0.0960216934828983,3.680596541592308e-11,9.416451147410957,-3.568809132211381,-3.268146329614104,4
IRF4,SH2D3A,-0.014460786208799,-0.0207898134987569,0.071343240462962,2.895087008494975e-09,7.391691210949762,-4.030987329593472,-2.9305606092412817,3
IRF4,EPB41L1,-0.0195096816986932,-0.0236371832492139,0.0248680803148013,2.0739920087519758e-09,7.078835182623901,-4.030987329593472,-2.9305606092412817,4
IRF4,MAP4K1,-0.0148162239650666,-0.0211996604764195,0.0684419118922881,1.0721709484514037e-07,5.80505809744493,-4.030987329593472,-2.9305606092412817,4
KRAS,TGFB1I1,-0.0190742348892953,-0.0220818248503036,0.0173684172044614,1.9417822438321228e-08,5.951559717235552,-2.2300086728401918,-1.7505270090683296,3
KRAS,CLDN8,0.0166949891376901,0.0201028342114391,0.0819298421067336,6.54273986711968e-08,6.0976824643764775,-2.2300086728401918,-1.7505270090683296,3
KRAS,AXL,-0.0191226313155219,-0.0219924215324134,0.0172116578969734,4.373659469319212e-08,5.594977739262981,-2.2300086728401918,-1.7505270090683296,2
KRAS,COL6A1,-0.0159017350339425,-0.0201823531660352,0.3704373766876065,4.967225257370011e-06,4.872600944867628,-2.2300086728401918,-1.7505270090683296,3
KRAS,SEMA4A,0.0223806151434495,0.021952836571959,0.0140893666614176,9.8434751605504e-08,5.155743021634398,-2.2300086728401918,-1.7505270090683296,3
KRAS,FOSL1,-0.0171386426995603,-0.0220305072136488,0.0900799274989798,7.6266462251937345e-06,4.072294426588272,-2.2300086728401918,-1.7505270090683296,2
KRAS,TIMP2,-0.0200454757235348,-0.0207406058510715,0.0262297305244324,9.01820002800804e-07,4.463673964877963,-2.2300086728401918,-1.7505270090683296,3
KRAS,FRK,0.0183813094573537,0.0201635226516003,0.079101127125707,3.689625952815784e-06,4.3312003314281275,-2.2300086728401918,-1.7505270090683296,2
KRAS,LAT2,-0.0220028398461327,-0.0226993265778077,0.030926382584585,7.6038975399317665e-06,3.609292867905298,-2.2300086728401918,-1.7505270090683296,2
KRAS,ERRFI1,-0.0221644955574618,-0.0248044766164809,0.0608686031024146,1.2201372870708057e-05,3.6979846358211317,-2.2300086728401918,-1.7505270090683296,2
KRAS,LTBP2,-0.0193447061331362,-0.0212382288581807,0.1624126336080674,8.087131349411044e-05,3.3028253118447486,-2.2300086728401918,-1.7505270090683296,3
KRAS,DCBLD2,-0.0233851943537075,-0.0218687028093675,0.021042996790887,1.3077740349596889e-05,3.2065748784890196,-2.2300086728401918,-1.7505270090683296,4
KRAS,KLC3,0.022531420427839,0.0211688596732757,0.0147887513493122,7.53053758086995e-06,3.293105526798115,-2.2300086728401918,-1.7505270090683296,2
KRAS,ASAP2,-0.024717685142316,-0.022370443148084,0.1087210733879133,6.058914283980268e-05,3.25391892293827,-2.2300086728401918,-1.7505270090683296,3
IRF4,TJP1,-0.0208835743829616,-0.0203931782966648,0.0104141448245298,1.586587731336107e-05,2.8171595212286396,-4.030987329593472,-2.9305606092412817,3
KRAS,ELF3,0.0260448118788048,0.0224222298469118,0.0524396075810986,0.0010392216909367,1.702951230214277,-2.2300086728401918,-1.7505270090683296,4
