,MOSA_outofsample,method,corr
0,Out-of-sample,MOSA_corr,0.8487160345653049
1,Out-of-sample,MOSA_corr,0.7553200248676166
2,Out-of-sample,MOSA_corr,0.2752408262500289
3,Out-of-sample,MOSA_corr,0.6737404324642159
4,Out-of-sample,MOSA_corr,0.775820553524333
5,Out-of-sample,MOSA_corr,0.6262505240980643
6,Out-of-sample,MOSA_corr,0.7864063144564999
7,Out-of-sample,MOSA_corr,0.7238384319723499
8,Out-of-sample,MOSA_corr,0.45213250056512355
9,Out-of-sample,MOSA_corr,0.5504906786832727
10,Out-of-sample,MOSA_corr,0.6494131910044572
11,Out-of-sample,MOSA_corr,0.7920151746102031
12,Out-of-sample,MOSA_corr,0.5818619933954559
13,Out-of-sample,MOSA_corr,0.7918109768451833
14,In-sample,MOSA_corr,0.4864075361394154
15,In-sample,MOSA_corr,0.560410219100439
16,In-sample,MOSA_corr,0.6609549547565308
17,In-sample,MOSA_corr,0.34152289823149623
18,In-sample,MOSA_corr,0.43808665292309823
19,In-sample,MOSA_corr,0.8299935072890823
20,In-sample,MOSA_corr,0.6662952129989813
21,In-sample,MOSA_corr,0.8111941748186122
22,In-sample,MOSA_corr,0.7387073332239005
23,In-sample,MOSA_corr,0.6162678450708626
24,In-sample,MOSA_corr,0.7704935891293607
25,In-sample,MOSA_corr,0.6815481146976284
26,In-sample,MOSA_corr,0.5806089168120669
27,Out-of-sample,MOSA_corr,0.6212094566526244
28,In-sample,MOSA_corr,0.6111963856212104
29,In-sample,MOSA_corr,0.8048783123697711
30,In-sample,MOSA_corr,0.674831634369303
31,In-sample,MOSA_corr,0.6223336763374581
32,In-sample,MOSA_corr,0.7133247912712897
33,In-sample,MOSA_corr,0.6039374595261889
34,In-sample,MOSA_corr,0.7414461809036977
35,In-sample,MOSA_corr,0.7250047417366583
36,In-sample,MOSA_corr,0.45922774365690133
37,In-sample,MOSA_corr,0.7304792296810685
38,In-sample,MOSA_corr,0.6391808058881008
39,In-sample,MOSA_corr,0.7683635962915479
40,In-sample,MOSA_corr,0.2922528661328386
41,In-sample,MOSA_corr,0.7960040943615523
42,In-sample,MOSA_corr,0.6713065685493709
43,In-sample,MOSA_corr,0.5629359190684765
44,In-sample,MOSA_corr,0.6774300921400971
45,In-sample,MOSA_corr,0.6709243362118588
46,In-sample,MOSA_corr,0.5326770950865763
47,In-sample,MOSA_corr,0.625184488914244
48,In-sample,MOSA_corr,0.37423032455630956
49,In-sample,MOSA_corr,0.7734223909129359
50,In-sample,MOSA_corr,0.3178213864390299
51,In-sample,MOSA_corr,0.6524764524439722
52,In-sample,MOSA_corr,0.7335134183391401
53,In-sample,MOSA_corr,0.7274920956598394
54,In-sample,MOSA_corr,0.5817336278635655
55,In-sample,MOSA_corr,0.5340076711395437
56,Out-of-sample,MOSA_corr,0.2012970866765532
57,In-sample,MOSA_corr,0.28785616296176497
58,In-sample,MOSA_corr,0.7670970892234883
59,In-sample,MOSA_corr,0.6679182113945683
60,In-sample,MOSA_corr,0.7406288947429673
61,Out-of-sample,MOSA_corr,0.8872883971395016
62,Out-of-sample,MOSA_corr,0.40912032000970533
63,Out-of-sample,MOSA_corr,0.7098366409278172
64,Out-of-sample,MOSA_corr,0.6821630176727163
65,Out-of-sample,MOSA_corr,0.576877380903599
66,Out-of-sample,MOSA_corr,0.43724284301140925
67,Out-of-sample,MOSA_corr,0.6692631989568352
68,Out-of-sample,MOSA_corr,0.49826836560238164
69,Out-of-sample,MOSA_corr,0.774716869664813
70,Out-of-sample,MOSA_corr,0.39562350292349446
71,Out-of-sample,MOSA_corr,0.5581505737750926
72,Out-of-sample,MOSA_corr,0.6418090857197862
73,Out-of-sample,MOSA_corr,0.6165395513171288
74,Out-of-sample,MOSA_corr,0.5613163288451704
75,Out-of-sample,MOSA_corr,0.37132862769703817
76,Out-of-sample,MOSA_corr,0.5756773182415973
77,In-sample,MOSA_corr,0.3649003115531219
78,In-sample,MOSA_corr,0.605175603934145
79,In-sample,MOSA_corr,0.8123048923311867
80,In-sample,MOSA_corr,0.49536867621746145
81,In-sample,MOSA_corr,0.7539097752875688
82,In-sample,MOSA_corr,0.7256833664092752
