feature,importance,omic_layer
copynumber_RSPH10B2,0.4616222485480574,copynumber
copynumber_CDKN2A,0.4106398912763803,copynumber
conditionals_day4_day1_ratio,0.2839042444041048,conditionals
conditionals_mut_TP53,0.280256986226977,conditionals
copynumber_UGT2B17,0.2483796814609571,copynumber
copynumber_PCM1,0.2440039886730799,copynumber
copynumber_MYC,0.2120975556817202,copynumber
copynumber_ZMYM2,0.2064692961000128,copynumber
metabolomics_uridine,0.204923131019285,metabolomics
copynumber_NFIB,0.2037334796538763,copynumber
metabolomics_1-methylnicotinamide,0.2034084407180799,metabolomics
metabolomics_C18:1 CE,0.1917793112004847,metabolomics
metabolomics_cis/trans-hydroxyproline,0.1896087754440054,metabolomics
metabolomics_C24:1 SM,0.1883171275374013,metabolomics
copynumber_NBEA,0.1873710552857982,copynumber
metabolomics_threonine,0.1868013635754174,metabolomics
metabolomics_C16:0 LPC,0.184691627928849,metabolomics
copynumber_TGIF1,0.1821728789683949,copynumber
metabolomics_C36:1 PC,0.1813851142914835,metabolomics
copynumber_MITF,0.1806158897507989,copynumber
copynumber_MLLT3,0.1797100446628089,copynumber
metabolomics_C16:0 CE,0.1774048198825572,metabolomics
copynumber_NPEPPS,0.1730939977638278,copynumber
metabolomics_hexanoylcarnitine,0.1725621200263839,metabolomics
drugresponse_1008;Methotrexate;GDSC2,0.1708641864307816,drugresponse
copynumber_ETV1,0.1704692876174666,copynumber
drugresponse_208;Ispinesib Mesylate;GDSC1,0.1702165732012369,drugresponse
metabolomics_C18:1 LPC,0.169635212217063,metabolomics
metabolomics_C18:0 SM,0.1690056304832859,metabolomics
metabolomics_C16:0 SM,0.1689236295847437,metabolomics
metabolomics_niacinamide,0.1677051397931616,metabolomics
copynumber_DROSHA,0.1667521990112276,copynumber
metabolomics_C32:2 PC,0.1665874857515431,metabolomics
copynumber_NRK,0.1657630511695252,copynumber
drugresponse_1941;Sepantronium bromide;GDSC2,0.1648838580905483,drugresponse
drugresponse_474;ARRY-520;GDSC1,0.1635316329138519,drugresponse
metabolomics_alpha-glycerophosphocholine,0.1607390002667314,metabolomics
metabolomics_C18:0 LPC,0.1589387356763986,metabolomics
drugresponse_284;JNJ38877605;GDSC1,0.1579205757022019,drugresponse
metabolomics_C18:2 CE,0.157241096984867,metabolomics
metabolomics_C20:4 LPC,0.1560541541379746,metabolomics
conditionals_tissue_Haematopoietic and Lymphoid,0.1555184256821892,conditionals
copynumber_NDRG1,0.155332534004305,copynumber
metabolomics_carnitine,0.1549595546123629,metabolomics
metabolomics_C34:2 DAG,0.1545574264928809,metabolomics
metabolomics_C56:3 TAG,0.1539950235848835,metabolomics
metabolomics_putrescine,0.1537700190446179,metabolomics
metabolomics_C54:3 TAG,0.1523280692887287,metabolomics
copynumber_MYB,0.1514051071350008,copynumber
metabolomics_C34:2 PC,0.1512608777582025,metabolomics
copynumber_TBL1XR1,0.1511421849507706,copynumber
drugresponse_1193;UNC0638;GDSC2,0.1498597419714592,drugresponse
metabolomics_glutamate,0.1495776695678183,metabolomics
metabolomics_C50:1 TAG,0.1494702273375857,metabolomics
copynumber_FAM135B,0.1493112070509686,copynumber
conditionals_tissue_Lung,0.1485699059254178,conditionals
drugresponse_1594;OSI-027;GDSC2,0.1480530723531768,drugresponse
drugresponse_1413;EphB4_9721;GDSC1,0.1475231962166522,drugresponse
metabolomics_2-aminoadipate,0.1472547524324402,metabolomics
