feature,importance
RSPH10B2,7.048193195671844
CDKN2A,5.409983922553781
PCM1,3.2053095341028754
ZMYM2,3.133044126207948
NBEA,2.7541780767544606
NFIB,2.60033710370837
MITF,2.598634049136719
PMS2,2.506594344471918
UGT2B17,2.39049112225944
NPEPPS,2.3622860075354017
MYC,2.298360337851203
DROSHA,2.2059006762807547
MLLT3,2.2012418250208605
ETV1,2.0125387636736503
TBL1XR1,1.9577117275962697
PTPRD,1.8709596980719696
MGA,1.8158814216185464
RAC1,1.7932967974627805
NDRG1,1.7791649788989423
NRK,1.7521577569391449
TOP2A,1.7389379726502183
APOBEC3B,1.7274133028128016
PTPN13,1.7125614384941452
RB1,1.7022736345005196
SMAD4,1.6956732045863774
SDHA,1.6942421705312225
EXT1,1.665557116015095
MYB,1.6640859514033
CD274,1.63031897607412
PDCD1LG2,1.628369761498671
RAD21,1.6145742219717454
JAK2,1.5968569347177095
CUX1,1.5479204002413296
FAT1,1.546909790034268
ASXL1,1.5257898401926366
PSIP1,1.524690226073688
TCF4,1.5154991255486725
RECQL4,1.507502672355478
FAM135B,1.4894021481206483
CARD11,1.486259401288362
PTEN,1.4549732633322725
TERT,1.4451898317774643
MET,1.4274229051542755
BAP1,1.4134390893895583
KLF5,1.4035331881158146
CYSLTR2,1.3785064500853212
TRRAP,1.3658501998959338
TGIF1,1.3657995119254407
PTPRB,1.3627717753534547
LIFR,1.3580596665282452
ARHGEF10,1.3449803783785734
DEK,1.3233724924109975
CR1,1.3095494279534776
ING1,1.3075052886151002
FOXP1,1.281913742965558
CDK6,1.279822086063069
GNAS,1.2741958402506308
FLCN,1.2619588422945034
MYCN,1.2372221826911436
DIS3,1.2316814119048674
CRNKL1,1.2231207026009967
LZTR1,1.2206829018586005
MB21D2,1.217073553831865
ZNF680,1.2096605854404263
ERCC5,1.207942508808362
PDPR,1.20665791193412
ZBTB7B,1.1984905250770488
PCDH17,1.198064271830909
ABCB1,1.1977872781702
KMT2C,1.1941243952538152
ETNK1,1.1882509002443251
H3C2,1.1738243129688155
PDE4DIP,1.173100559269682
BCL9,1.169035734528836
NCOR1,1.1680821292865025
RBM39,1.1559512394433678
DDX6,1.1539187238922368
MALT1,1.1498043276968737
NBN,1.1491654168570415
SFRP4,1.1449872347365442
EGFR,1.132828766320625
SS18L1,1.1292411592700593
MAP2K4,1.128485108855508
TFEB,1.125069605184067
HOXA11,1.1244752131445104
KRAS,1.1196340797442914
HOXA9,1.1190164890977272
CDH10,1.1176406190407246
LATS2,1.1156893050950576
ARNT,1.115356962424888
HNRNPA2B1,1.112657138709512
AXIN2,1.1111761481346256
CDX2,1.109621347580088
FOXA2,1.1066549702033686
EIF3E,1.105441221919503
NIPBL,1.10133847098577
RBM38,1.101328015945011
RUNX1T1,1.0945444561768969
HEY1,1.0942481667589772
PTK6,1.0890751384865602
SOX21,1.088524434281656
NFATC2,1.079461492134968
TP53,1.0779504413090195
LMNA,1.0724754836007395
RSPO2,1.0717384148335602
KLF6,1.0694574318226815
RIPK1,1.0668072684807255
FOXO1,1.0648974258062585
FLT3,1.0601733361411012
NT5C3A,1.0578831122871124
IL7R,1.0577682533843926
SALL4,1.0559255832214878
NSD3,1.0531712198663332
CCND3,1.0518738740985418
FGFR1,1.05146688922538
BCL2,1.0508645496597735
BIRC3,1.0492735851653716
CCND1,1.0487917182054594
SETDB1,1.0487127445157105
KDSR,1.048676321915851
SOHLH2,1.0465137153988682
MUC1,1.0450969873126688
SIRPA,1.0447273628655414
TP63,1.039901456371752
BRCA2,1.0374034471520708
LPP,1.0308419367641242
GAS7,1.0180811117346993
DGCR8,1.0158416208656385
IKZF1,1.0157582093757012
TPM3,0.9991259575693064
DDX5,0.9842853826503004
GMPS,0.9824442288827846
TCEA1,0.9775966681941568
NFKBIA,0.9748588289850518
HGF,0.9710109964827102
SMARCB1,0.9700231918823408
IRF4,0.9683152760961206
NCOA2,0.9675899171040888
CANT1,0.9654112446546788
PTPRK,0.9643961734517108
H4C9,0.9634182871293658
SBDS,0.9583079475819778
SDHC,0.9540641898924188
UBR5,0.949934971663188
KAT6A,0.9458718228533698
TET2,0.945653519178936
RARA,0.9425139510773278
ZNF521,0.9410371242515704
SDC4,0.9391876900749172
PLCG1,0.9298700258492364
SMO,0.9280756383875473
DCSTAMP,0.927480575759124
PAK2,0.9248202670463758
FANCG,0.923899237987045
NKX2-1,0.9178231652504616
RPL10,0.9173657428584144
PCMTD1,0.9156770151172682
PTPRT,0.9131642172622256
ERBB2,0.9064519477610892
BIRC6,0.906262407763874
BCL6,0.9061887715219616
TLX3,0.9057954153749224
PABPC1,0.9047833929183364
TOP1,0.9044144027625554
PRKAR1A,0.903201851606074
ASPSCR1,0.8986326293098503
PLCB4,0.8986030839659607
RNF6,0.8985099133443543
PER1,0.8968356927469431
LRP1B,0.8967888959399091
PTPN14,0.8946373783889107
MAFB,0.8939975656286587
MAP3K13,0.8936833414083238
CDH1,0.8933021557755343
KMT2B,0.8923850821738238
PPFIBP1,0.8898555017617806
SS18,0.8869734344396837
WRN,0.8867504572045011
PRCC,0.8805313969494566
NTRK1,0.878909560194982
FAT3,0.8768086700721803
PARP4,0.8766938804453677
NSD1,0.8727316262619491
KLHL6,0.8717392524103972
SOX9,0.8703261226870487
ABI1,0.8689728705830115
BCR,0.8661960617772347
DDR2,0.8638217047308141
FCGR2B,0.8620546474662508
DCC,0.8612146637574875
ASXL2,0.8602454636276404
FLT4,0.8575701523753286
KMT2A,0.8562225601229585
PAX5,0.8551770404309323
HIP1,0.8549592712390377
MAPK1,0.8535811395700216
CLTCL1,0.8529636730990607
GNA13,0.8507250465425313
