feature,importance,omic_layer
conditionals_tissue_Haematopoietic and Lymphoid,8.728391895790509,conditionals
copynumber_RSPH10B2,5.0708379036612135,copynumber
conditionals_day4_day1_ratio,3.042568179067488,conditionals
conditionals_mut_TP53,2.6654947567029588,conditionals
conditionals_tissue_Lung,2.633014487308972,conditionals
copynumber_CDKN2A,2.5204315469122736,copynumber
copynumber_ZMYM2,2.140038630205235,copynumber
copynumber_NBEA,2.073504885169444,copynumber
copynumber_PCM1,1.929588482966436,copynumber
copynumber_PMS2,1.81753537185982,copynumber
copynumber_DROSHA,1.7714900473163455,copynumber
copynumber_PTPN13,1.6863492615954288,copynumber
copynumber_NFIB,1.574672581911799,copynumber
copynumber_ETV1,1.5615068731548396,copynumber
copynumber_NPEPPS,1.5546155203087804,copynumber
copynumber_MITF,1.4928068886033272,copynumber
copynumber_UGT2B17,1.4857080789502597,copynumber
copynumber_MGA,1.463361690503903,copynumber
drugresponse_1008;Methotrexate;GDSC2,1.4033874040116547,drugresponse
copynumber_MYC,1.3786114570502284,copynumber
copynumber_NRK,1.3728111308793984,copynumber
copynumber_TBL1XR1,1.3381646531959486,copynumber
drugresponse_1008;Methotrexate;GDSC1,1.3363870084502103,drugresponse
metabolomics_1-methylnicotinamide,1.2693679372945088,metabolomics
drugresponse_1034;Staurosporine;GDSC2,1.2598826745226064,drugresponse
metabolomics_C52:2 TAG,1.2520694987047116,metabolomics
metabolomics_C52:3 TAG,1.250421657941139,metabolomics
drugresponse_1372;Trametinib;GDSC2,1.2256552291795184,drugresponse
copynumber_PTPRD,1.2134475911985012,copynumber
copynumber_RAC1,1.2099897117550753,copynumber
metabolomics_C50:2 TAG,1.1953075534472417,metabolomics
metabolomics_C54:3 TAG,1.1889033146122252,metabolomics
copynumber_PDCD1LG2,1.1771268174771672,copynumber
drugresponse_478;LDN-193189;GDSC1,1.1711206329883392,drugresponse
copynumber_CD274,1.164174092109682,copynumber
drugresponse_1062;Selumetinib;GDSC1,1.1615701653179498,drugresponse
drugresponse_2043;BIBR-1532;GDSC2,1.15912241295316,drugresponse
copynumber_RB1,1.1579194528255297,copynumber
metabolomics_C16:1 SM,1.1443347270863182,metabolomics
drugresponse_1382;AZD3514;GDSC1,1.139493428463799,drugresponse
copynumber_SDHA,1.1367451366268018,copynumber
metabolomics_C48:2 TAG,1.1100429888869914,metabolomics
copynumber_APOBEC3B,1.1033284633045322,copynumber
copynumber_TOP2A,1.102736108383576,copynumber
copynumber_JAK2,1.0932689126521202,copynumber
drugresponse_1032;Afatinib;GDSC2,1.092586664649832,drugresponse
drugresponse_1060;PD0325901;GDSC2,1.0906706653946905,drugresponse
copynumber_MYB,1.07967887688241,copynumber
copynumber_MLLT3,1.0734301252408136,copynumber
drugresponse_1564;SCH772984;GDSC2,1.0733540094444096,drugresponse
copynumber_NDRG1,1.0694159889137278,copynumber
metabolomics_C50:1 TAG,1.0637733545066923,metabolomics
metabolomics_C14:0 SM,1.0568950291516417,metabolomics
metabolomics_C54:4 TAG,1.056063791908157,metabolomics
drugresponse_279;BIX02189;GDSC1,1.0461582512181478,drugresponse
copynumber_LIFR,1.0386115545896932,copynumber
drugresponse_1932;NVP-ADW742;GDSC2,1.0360492012965017,drugresponse
copynumber_EXT1,1.0254586433793071,copynumber
drugresponse_1918;AZD8186;GDSC2,1.025340204968748,drugresponse
metabolomics_C54:2 TAG,1.0208957742692626,metabolomics
copynumber_SMAD4,1.019075281761061,copynumber
copynumber_TERT,1.0178652955308134,copynumber
metabolomics_C18:1 CE,1.015187961346091,metabolomics
metabolomics_betaine,1.0150055188205818,metabolomics
copynumber_CR1,1.0130599658463335,copynumber
copynumber_PTPRB,1.0072087803488106,copynumber
drugresponse_225;Genentech Cpd 10;GDSC1,1.0055721711175334,drugresponse
copynumber_RAD21,1.0055526593804538,copynumber
drugresponse_1079;Dasatinib;GDSC2,1.0044580549720237,drugresponse
copynumber_CYSLTR2,1.0009285944119397,copynumber
drugresponse_1014;Refametinib;GDSC1,0.9966120441586586,drugresponse
drugresponse_1549;Sapatinib;GDSC2,0.9947525464827938,drugresponse
copynumber_CDH10,0.9921672644129924,copynumber
metabolomics_C20:4 CE,0.9920864423830914,metabolomics
metabolomics_glycine,0.9916932916305462,metabolomics
metabolomics_C24:1 SM,0.9895884829144702,metabolomics
metabolomics_C50:3 TAG,0.9886317675663808,metabolomics
conditionals_tissue_Skin,0.9873837164922687,conditionals
metabolomics_cis/trans-hydroxyproline,0.981278464339739,metabolomics
copynumber_CUX1,0.9768654843655942,copynumber
conditionals_tissue_Central Nervous System,0.9731627509783026,conditionals
metabolomics_adipate,0.9687572988303392,metabolomics
drugresponse_1561;Taselisib;GDSC2,0.968592558693557,drugresponse
metabolomics_oxalate,0.9640678080479266,metabolomics
metabolomics_threonine,0.9617726331243606,metabolomics
copynumber_CDK6,0.9571754207759928,copynumber
metabolomics_C18:2 CE,0.9566093349576252,metabolomics
copynumber_TCF4,0.9565827982644882,copynumber
metabolomics_butyrobetaine,0.9552499386231996,metabolomics
drugresponse_1413;EphB4_9721;GDSC1,0.9517766852926772,drugresponse
metabolomics_C34:2 PC,0.949182757449149,metabolomics
copynumber_GNAS,0.946614674544094,copynumber
drugresponse_1039;SL0101;GDSC1,0.9457273472711596,drugresponse
drugresponse_476;SB505124;GDSC1,0.9445503661574084,drugresponse
metabolomics_C52:1 TAG,0.9407716228220094,metabolomics
drugresponse_1016;Temsirolimus;GDSC1,0.9405650048612196,drugresponse
copynumber_CARD11,0.9402620361374386,copynumber
drugresponse_194;Luminespib;GDSC1,0.9377773211072928,drugresponse
metabolomics_niacinamide,0.9276912140175868,metabolomics
copynumber_ASXL1,0.9272727797324206,copynumber
metabolomics_C16:0 CE,0.9266750966831856,metabolomics
copynumber_GMPS,0.9238514407739986,copynumber
metabolomics_C54:6 TAG,0.9235232033631716,metabolomics
metabolomics_ornithine,0.9198431864300254,metabolomics
drugresponse_1058;Pictilisib;GDSC2,0.9188489633831352,drugresponse
copynumber_FAM135B,0.9183762789013764,copynumber
metabolomics_C48:1 TAG,0.9157721583893302,metabolomics
metabolomics_NAD,0.9156931983518584,metabolomics
drugresponse_1049;PD173074;GDSC1,0.9134104010273768,drugresponse
drugresponse_1007;Docetaxel;GDSC1,0.9105252354023996,drugresponse
drugresponse_1560;Alpelisib;GDSC2,0.909396482408986,drugresponse
drugresponse_1092;Saracatinib;GDSC2,0.9075628287674612,drugresponse
drugresponse_1494;SN-38;GDSC2,0.90755262030495,drugresponse
copynumber_FAT1,0.9069582027599136,copynumber
metabolomics_alanine,0.9064935043892568,metabolomics
drugresponse_1060;PD0325901;GDSC1,0.9036493789746606,drugresponse
copynumber_NBN,0.9031934592702168,copynumber
drugresponse_1498;Selumetinib;GDSC1,0.9007653975475302,drugresponse
copynumber_BCL2,0.8989589961440526,copynumber
drugresponse_1032;Afatinib;GDSC1,0.8974276100594492,drugresponse
metabolomics_C56:3 TAG,0.8948075693895187,metabolomics
drugresponse_374;GSK1059615;GDSC1,0.8929927696830314,drugresponse
conditionals_mut_KMT2C,0.8922279374121596,conditionals
drugresponse_1386;Doxorubicin;GDSC1,0.892084554502233,drugresponse
copynumber_IL7R,0.8908568148493287,copynumber
metabolomics_asparagine,0.8893446683623382,metabolomics
copynumber_NIPBL,0.889063263481158,copynumber
copynumber_RECQL4,0.8884479061684417,copynumber
copynumber_FOXP1,0.8867902821339247,copynumber
metabolomics_C38:5 PC,0.8867653437500598,metabolomics
drugresponse_1458;PARP_9495;GDSC1,0.8863508309313359,drugresponse
drugresponse_1091;BMS-536924;GDSC1,0.8835977123796176,drugresponse
drugresponse_1941;Sepantronium bromide;GDSC2,0.8828340827740162,drugresponse
copynumber_SS18L1,0.8824962106435726,copynumber
copynumber_KDSR,0.8816690734278458,copynumber
drugresponse_1036;PLX-4720;GDSC2,0.8813383118884289,drugresponse
metabolomics_proline,0.8809351243477501,metabolomics
drugresponse_2161;Rigosertib;GDSC2,0.8798436804747538,drugresponse
drugresponse_375;Voxtalisib;GDSC1,0.8791162192088382,drugresponse
drugresponse_1133;Serdemetan;GDSC1,0.8720811055077238,drugresponse
metabolomics_C52:4 TAG,0.8710666255793174,metabolomics
copynumber_ABCB1,0.8682112008864429,copynumber
copynumber_DEK,0.8669963490939389,copynumber
copynumber_PTK6,0.8668680542713133,copynumber
copynumber_NFATC2,0.8667606842387391,copynumber
metabolomics_trimethylamine-N-oxide,0.864459051141373,metabolomics
metabolomics_citrate,0.8632700483049979,metabolomics
copynumber_RBM38,0.862710812178122,copynumber
metabolomics_C36:4 PC-B,0.860572018411267,metabolomics
copynumber_DDX6,0.8596508187454851,copynumber
metabolomics_C18:0 LPC,0.8593332267132966,metabolomics
drugresponse_1908;Ulixertinib;GDSC2,0.8590706249004164,drugresponse
copynumber_LZTR1,0.8584008494267584,copynumber
drugresponse_2466;CA3;GDSC2,0.8581391685065716,drugresponse
metabolomics_phenylalanine,0.8564579984800826,metabolomics
