feature,importance
1-methylnicotinamide,1.2693679372945088
C52:2 TAG,1.2520694987047116
C52:3 TAG,1.250421657941139
C50:2 TAG,1.1953075534472417
C54:3 TAG,1.1889033146122252
C16:1 SM,1.1443347270863182
C48:2 TAG,1.1100429888869914
C50:1 TAG,1.0637733545066923
C14:0 SM,1.0568950291516417
C54:4 TAG,1.056063791908157
C54:2 TAG,1.0208957742692626
C18:1 CE,1.015187961346091
betaine,1.0150055188205818
C20:4 CE,0.9920864423830914
glycine,0.9916932916305462
C24:1 SM,0.9895884829144702
C50:3 TAG,0.9886317675663808
cis/trans-hydroxyproline,0.981278464339739
adipate,0.9687572988303392
oxalate,0.9640678080479266
threonine,0.9617726331243606
C18:2 CE,0.9566093349576252
butyrobetaine,0.9552499386231996
C34:2 PC,0.949182757449149
C52:1 TAG,0.9407716228220094
niacinamide,0.9276912140175868
C16:0 CE,0.9266750966831856
C54:6 TAG,0.9235232033631716
ornithine,0.9198431864300254
C48:1 TAG,0.9157721583893302
NAD,0.9156931983518584
alanine,0.9064935043892568
C56:3 TAG,0.8948075693895187
asparagine,0.8893446683623382
C38:5 PC,0.8867653437500598
proline,0.8809351243477501
C52:4 TAG,0.8710666255793174
trimethylamine-N-oxide,0.864459051141373
citrate,0.8632700483049979
C36:4 PC-B,0.860572018411267
C18:0 LPC,0.8593332267132966
phenylalanine,0.8564579984800826
allantoin,0.8460223617353948
citrulline,0.8433501821414578
fumarate/maleate/alpha-ketoisovalerate,0.8408481633831641
AMP,0.8386915682853014
glutamate,0.8330371414664568
C16:1 CE,0.8318274965552366
hexoses (HILIC neg),0.8310861282465771
C20:3 CE,0.830294986382772
malate,0.8264869765509869
F1P/F6P/G1P/G6P,0.82202579378732
UDP-galactose/UDP-glucose,0.819061406859193
taurine,0.8092190022129553
C36:2 PC,0.8089909598615581
lysine,0.808369387249893
C38:4 PC,0.8044099733484166
C18:1 SM,0.8007225209058445
valine,0.7992700693656791
alpha-glycerophosphate,0.7972575815549818
tyrosine,0.796086142024811
C16:0 LPC,0.7833766184195717
C22:6 LPE,0.7773490481698355
methionine,0.7766097814210411
GMP,0.7728188910711219
SDMA/ADMA,0.7692702207790425
C58:6 TAG,0.764690934737175
inositol,0.762149236560673
C32:2 PC,0.7609467947773476
C38:6 PC,0.7586082425213073
carnosine,0.7557748764727984
C22:0 SM,0.7470491071813489
C32:0 PC,0.7420932567390907
arginine,0.7393414465369638
glutathione reduced,0.7377537536280587
C18:1 LPC,0.7350480992563614
CMP,0.7346241715258574
C32:1 PC,0.7283947153984459
C18:0 SM,0.7277979768244393
C18:0 CE,0.7251429140775002
C16:0 SM,0.722438274745241
C58:7 TAG,0.7220915991263637
cotinine,0.7166533255767437
5-adenosylhomocysteine,0.7131465435488354
xanthine,0.7026851078378216
thiamine,0.701324139552268
uracil,0.6995651786386328
C22:6 CE,0.6994221690178248
leucine,0.6979700398391999
acetylcarnitine,0.6928640883231149
creatinine,0.6898998331829262
aconitate,0.6894572787017703
2-deoxycytidine,0.6874492326514561
carnitine,0.6863378957623865
