feature,importance
FOXD4L3,0.3336461094787576
UCK1,0.3275885782157605
SNORA81,0.3136050292481034
MIR1248,0.3136046587567263
ADHFE1,0.3097214106588637
SNORA63,0.3096273755280153
CCHCR1,0.3050285500829776
NFKBID,0.3019791837113269
INTS4L2,0.2974767107207585
BOLA2B,0.2959958711160947
BOLA2,0.2959954361761391
SNORA65,0.2950206018189729
SHBG,0.2947554339024515
SNHG7,0.294544370049805
SULT1A3,0.2921597496561733
SULT1A4,0.2921595563640308
KAZALD1,0.2902730860134638
LANCL2,0.2888020209638123
SNORD22,0.2877369224686968
SNORD36A,0.2856839668420854
PODNL1,0.2856642164139472
C6orf62,0.2841618261373057
SNORA4,0.2839296322494775
SNORD36B,0.2831255154639879
ZNF826,0.2819529033067443
C9orf86,0.2819391509225304
STK19,0.279397555965887
FAM193B,0.2786258568676967
SNORA10,0.2785262836979248
SNORD31,0.2784522643984922
HIST1H3C,0.2779937807242771
ZNF496,0.2774306887920238
SNORA51,0.2764294173180656
LOC100130017,0.2745764318871901
SNORD30,0.2738706400157278
RNU86,0.2735297638847538
SNORA64,0.2734169408164146
SNORD4A,0.2733774901868866
FLJ13224,0.2726200518246717
KATNAL2,0.2716045565516242
HIST1H2BB,0.2713171731369565
SNORD79,0.2710598208974325
SERHL,0.2700561880066333
SPAG7,0.2696429433231264
RAC3,0.2691264293376145
MIR20A,0.2687760382746699
C3orf62,0.2682025748593512
NFKBIL2,0.2680949800703778
SNORD80,0.2676555304362564
PSMB2,0.2675796728651122
LOC645676,0.267402802833782
SNORD24,0.2664466764606772
SNORD87,0.2662689542196757
TCEB2,0.2661522795210941
C17orf49,0.2660672252829043
RTEL1,0.2653956077345576
ZHX1,0.2652023218926836
C10orf104,0.2645777342960397
MORN1,0.264039422688086
C8orf39,0.2638430904165394
CENPB,0.2631548520943425
QPCT,0.2627925797236309
KRTAP5-7,0.2622967364229566
TCP10L2,0.2613752007348385
ZNF782,0.2604356565502405
SNORD81,0.2598699052005189
SNORD47,0.2598695421080702
SNORD12,0.2597082771486799
SUMF1,0.2594562398454822
LOC145845,0.2587740690324278
C15orf40,0.2572807119191414
HIST1H2BE,0.2568093595426459
HIST1H4D,0.2551359119509118
C19orf23,0.2549826540332524
MIR15B,0.2549715399765582
MED22,0.2545143273042664
MIR1236,0.2544534737983232
UBXN6,0.2542535176691308
MBD3,0.2541287965107104
MSRB2,0.2539675169846409
EIF4EBP3,0.2537605966290998
STK24,0.253255568312436
KIAA1875,0.2525162155549172
RNF20,0.2524833034170236
PAH,0.2520401602899697
MIR19B1,0.2518925797750425
SNAP23,0.251773674555683
COASY,0.2515115052426013
KIAA1683,0.2514635788844109
NCRNA00115,0.2514348295396132
WDR33,0.2511756532350415
SNORD32A,0.2509535251681351
SNORA48,0.2508298274719463
RPLP1,0.2507996102194928
CLCN7,0.2507743775006619
MIR16-2,0.2505997630458507
TCEB3CL,0.2504857326468722
ATF6B,0.2501971547394974
SURF6,0.250101180136728
SLC25A25,0.2500555462065393
SH3BGRL3,0.2497888783240867
ZNF641,0.2495381374533189
ZNF319,0.2494646598966257
XYLT2,0.2493102683199146
SNORD33,0.248958746915593
MAFG,0.2489182995338236
SNORD38A,0.2481732566086847
SNORD78,0.2481223436969377
ZMYND12,0.2480379083283112
C15orf17,0.2473770235265088
KLF11,0.2473703961233412
PIN1L,0.2469818249820561
MGC2752,0.2465328911764627
DIRC3,0.2465114509136242
MTPAP,0.2464956701742492
RARRES1,0.2464677016911332
WDR85,0.246452619694835
ZNF518A,0.2461383735681535
MIR659,0.2459353291516855
RNU6ATAC,0.2457516549662667
SNORD38B,0.2453926881021911
LOC619207,0.2453763655966163
SSC5D,0.2453167796248607
SNORD99,0.2447182001723107
SNORD42A,0.244623370928378
AMMECR1L,0.2445109795336724
NDUFS2,0.2444157295848548
DPH1,0.2438215363435956
TCEB3C,0.2435367552371559
PACSIN3,0.2434717746577673
MIR19A,0.2429895615043672
MARCH9,0.2427830872848037
GPT2,0.2427791145723564
B4GALT2,0.242463739290756
RHBDL1,0.2424318982559748
PARVB,0.2424067191439577
DLX6AS,0.2420374272667691
TMEM33,0.241885468783519
TGFBRAP1,0.2418514621364672
ANKRD28,0.2416833624235342
NDUFB8,0.2416485407778551
NAIF1,0.2415877179542025
TNFAIP8,0.2414986136139377
ASCC1,0.2414864204183853
NUP214,0.2412441145848874
ADPRHL2,0.2412288915328143
METRN,0.2411065069597411
MAN2A2,0.2403271877507866
CAPS,0.2402907839196391
POLE2,0.2401577651315391
SNORD83A,0.240115105666287
