feature,importance
RAB21,0.8062656900914956
DLAT,0.7776137412841844
ATAD3A,0.763840066561243
PSIP1,0.7606294229210911
SMARCC2,0.7600987144342787
HSPB1,0.751904880956835
HYOU1,0.7495074545511784
FIS1,0.7476444706640661
BAZ1B,0.7472789841500335
CMAS,0.7459826937050513
MTDH,0.7456231621649534
ACAT1,0.7323069019521253
TOP1,0.7309711166152967
SSBP1,0.7290351066399391
HNRNPUL2,0.7241760716720005
CYB5B,0.7239915405118506
SUCLA2,0.7236375752255709
XRN2,0.7233704520912021
GTF2I,0.7220476975354694
IGF2R,0.7215965740616281
STX7,0.7202119005413903
AK3,0.7191282481424822
ACADM,0.7170617836992076
CDK5RAP3,0.7107951827407712
VAPA,0.7104972695077754
SARS2,0.7078419176021409
PDHB,0.7066347271846409
HNRNPAB,0.6955512809977908
CSNK2A2,0.6931768611251963
PURB,0.6907478419522751
REXO2,0.6902945901333467
AARS2,0.6891248356196289
MMAB,0.6865882033063031
TMX1,0.6860642078620918
MDH2,0.6845100235312742
DCXR,0.6825121685288914
AKAP8,0.6821404672073463
EHD4,0.681728053794291
HTRA2,0.6806719794658654
DIABLO,0.679997640426331
VDAC3,0.6792903002981842
KPNA4,0.6792305137547802
PPP1CA,0.6776881725582471
KARS1,0.6775493342119003
NUP153,0.6765687873218711
C1QBP,0.6760740424423962
DIDO1,0.6756451552529497
TSFM,0.675590283613806
CYCS,0.6720146076565193
ESYT1,0.6708678104334501
STAU1,0.6706280066355585
THOC2,0.6705598405736064
NNT,0.6701660421441141
STX12,0.6700183763587658
GCDH,0.669763314331473
GLRX5,0.6687668773262583
ERP44,0.6683678153348053
PPIG,0.6669376273605959
ADAR,0.6668408790754744
FH,0.6663568609568385
USP7,0.6653177574751216
FOXK1,0.6640694820185491
CSTF2,0.6631869357054291
POP1,0.6631735799561471
TMEM109,0.6621796163604068
MMUT,0.6619623518772991
SHMT2,0.6603033028009636
MTHFD2,0.6592235840415652
GLG1,0.6587759626189768
NADK2,0.6583830022506593
SLC1A5,0.6582190284072494
TAF15,0.6566425886024079
ME2,0.6565818573472525
FXR1,0.6551513531114249
PDS5B,0.6534359602678255
EZR,0.6530034590438406
TIMM13,0.6524767998924267
SFXN1,0.650574613349751
HSD17B10,0.6504165630713172
PRKDC,0.6500162221406678
SCO1,0.6493321184148212
OPA1,0.6490582037688604
NTPCR,0.6480678400766575
TXNDC12,0.6478783505687609
RAD50,0.6454970560050111
DDRGK1,0.6441396584759485
MESD,0.6435606158917061
ALDH18A1,0.6427598679298683
MACF1,0.6420199821918318
PPIB,0.641850149703208
COMT,0.6413645939538402
C7orf50,0.641311290292281
RAC1,0.6411229162022306
LONP1,0.6401340157461107
TPP1,0.6397418966428909
CAPZB,0.6397002903650595
PTRH2,0.6388324332472191
TFRC,0.6386599022130011
DNAJC11,0.6376990158521014
GOT2,0.6375668959348052
YLPM1,0.6362448544079842
FUBP3,0.6351341391571821
DAZAP1,0.6350226472531444
LNPK,0.634015921217758
PPIL1,0.6330592358891801
PDHA1,0.6321183619134249
PGAM5,0.6313472358134631
SNAP23,0.6312800403862382
LYPLA1,0.6294998669902676
LBR,0.628896316416937
TXNRD1,0.6288480165377309
PDIA4,0.6284734713456428
RAB8A,0.6284582911682176
WDR18,0.6281440303779202
HNRNPUL1,0.6279245933569833
SEC22B,0.6269529480705063
GFM1,0.6262834338522593
SDHB,0.6261719367489101
CAPZA1,0.6260776817476968
NKRF,0.6260409209449285
HNRNPF,0.6256998396623944
RAE1,0.6252945896051754
CSTF1,0.6251756246002297
AP1B1,0.6245250116612504
CSTF3,0.6241268317462102
HP1BP3,0.623644292248124
DNAJB11,0.6233815090591883
RALY,0.6233668741611667
PTBP3,0.6231104891548835
ATP1A1,0.6230619918128939
DECR1,0.6222382089200851
ERO1A,0.6221918850844482
TP53BP1,0.6219028177899459
CAPZA2,0.6215809932547278
MANF,0.6209722806808805
IDH2,0.6209679946606533
CLPP,0.6196821421465009
RAB5A,0.6188979918241828
RPRD1B,0.6178009348073539
RAB18,0.6177477295266007
NPM3,0.6175381190322307
HADH,0.6162726795230575
ANXA7,0.615338333926669
FDXR,0.6152833902274705
DDX5,0.614457104035669
ECH1,0.6137319899614484
TBL2,0.6132622066698324
DLD,0.6131449149450502
ZCCHC8,0.6128682542285157
RAB7A,0.6128663824994003
UFL1,0.6125044466401679
SPTBN1,0.6124151068080981
SEC62,0.6123774111828928
FKBP2,0.6112079659495105
PRKAR2A,0.6110462562984156
WBP11,0.6107844811668791
BANF1,0.6104525909477331
CALR,0.6101277521668695
NCOA5,0.6099634688719656
POLR1G,0.6097107851409145
UGDH,0.6092036489671587
PHB,0.6089590222816844
PDLIM5,0.6087722953368804
ACTL6A,0.6086685525097674
HBA1,0.60860858102338
NENF,0.6085866675814011
HMGN2,0.6071539725369721
HMG20A,0.6059292533834963
OXCT1,0.605351811046473
SPTAN1,0.6053301100447955
ACO2,0.604711697476561
SRSF9,0.6042426145623289
GSR,0.6035551113645807
CLTB,0.6031943422651601
PRDX3,0.6028176039054721
BCLAF1,0.6026907276850175
G6PD,0.6022040762985046
RALA,0.6020198767233237
ERLIN2,0.6018357281112933
UBTF,0.6017488633319493
GLUD1,0.6016213690689715
SERPINH1,0.6006640246386997
PCMT1,0.6002057150110086
POLR1C,0.5998651335554859
PRPF4B,0.5993256984632913
SOD2,0.5989627699688047
GAA,0.598877983037184
SYNCRIP,0.5987583199960994
RACGAP1,0.5982049921888231
HMGN1,0.597228953430427
TPX2,0.5971959152634163
HNRNPR,0.5968399568934633
PRPF3,0.59626359438404
CISD2,0.595858731146576
RIDA,0.5951403406908663
RCC1,0.5948222814804336
LMNB1,0.5940482979190811
TMPO,0.5939076719916324
SIN3A,0.5937612015391645
B2M,0.5933145202559771
CANX,0.5929566132882949
POGLUT3,0.5926334337081539
CNPY3,0.5925324836473753
SLC25A13,0.5924872156220782
LAMTOR1,0.592362075653035
KPNA3,0.591957145333828
ADAM10,0.5918594487039353
GET3,0.5916389969788036
TIMM44,0.591497384932737
GNB2,0.5912126964107552
IGF2BP3,0.5909037060304728
TPD52L2,0.5906737230195864
PSPH,0.5900806383224534
NLN,0.5899297213735166
GRSF1,0.589747625877405
LPCAT1,0.5896731145677184
SCAMP3,0.5893105204544608
FAF2,0.58821383474053
PLD3,0.5881916077146145
TFAM,0.5879858823028624
DNAJC3,0.5877730052020275
EDC4,0.5875683879765637
TRA2A,0.5872211384667027
NIPSNAP1,0.5866529184370816
NAPG,0.5865158481856834
RUFY1,0.5864652009243638
LAMP1,0.5862567870971711
YARS2,0.5857452997881747
QSOX2,0.5856731889805598
ARMC1,0.5855934860388378
SQSTM1,0.5853047831684358
CCAR2,0.5844254974729759
RBM4,0.5842740595478947
MPST,0.5839402989248598
GLS,0.583902217755323
PAM16,0.5827789264442564
SRPRA,0.5826500419531283
AFG3L2,0.581963584378526
SSR1,0.5818905823866928
RBM42,0.5816044031932914
PRKRA,0.5812216343624867
PUS1,0.5810167321111304
PRDX5,0.5800155436764954
TAPBP,0.5796629924917035
PTGES2,0.5796088816252836
DDX41,0.578242412701912
TOP2B,0.5779163529300051
CTBP1,0.577658498903614
LAMP2,0.5776118698312548
IDH3A,0.5774882778598208
UHRF1,0.5773245778101591
ZC3HAV1,0.5765203520027413
HNRNPH2,0.5748377800951164
UQCRH,0.5747745982640144
RAB5B,0.5744677875072415
VDAC2,0.5743599302038245
NUFIP2,0.5741580574619858
SCFD1,0.5739545866877159
CHCHD3,0.573760658805786
FAHD1,0.5733790260036771
RSF1,0.57322315642004
MRPL12,0.5722010772611582
USO1,0.5718011166871722
TMX3,0.5716290356031625
NDUFAF2,0.5715399095669091
TIMM50,0.5711468803650469
SMCHD1,0.571128083573197
SNRPB2,0.5711013678109296
NSUN2,0.5708460989214764
HINT2,0.5708329679503886
ERP29,0.5704605105695668
GGH,0.5702161799286316
UNC45A,0.5699453054411031
LSG1,0.5693609307630791
PDCD6,0.5690881588607708
KDM2A,0.5689798815901272
HSPE1,0.5686994360492273
WDR33,0.5679462408165425
PDLIM1,0.567587765459443
RBM15,0.5675514007222981
NSF,0.5674938071423914
CYB5A,0.5674729321461434
MKI67,0.5674197311928639
RFC1,0.5672056827693065
BUD31,0.5670547521664258
EIF2AK2,0.5669950321705468
RBM3,0.5664612845845243
SLC25A6,0.5663059485326649
TOP2A,0.5662559658159847
STAT1,0.5661062253918934
SF3A2,0.5660677525969622
NUP62,0.5658931016139824
ATP5IF1,0.5656504748765938
RPL37A,0.5655946177087237
PNPO,0.5655089816732642
LMAN1,0.5655085157603169
CPNE1,0.5654362878974831
