feature,importance
SCD,0.7605393005728448
RPL22L1,0.7580606036835166
KLHL24,0.6663013118803728
RPS27L,0.6659376037186728
PBXIP1,0.6652827502819192
DDIT3,0.6636945212582257
CCNE2,0.6589096646341486
FDXR,0.6376495658821726
SDF2L1,0.6328787983001264
EDA2R,0.6294440197550363
ZNF425,0.6265641059943656
SLC7A11,0.6187144665564317
ZBED6,0.618341954319161
SAMD15,0.6181681688382551
GNRH1,0.6166602589552753
PBK,0.6079016942943475
GPR135,0.6068783547055054
TCP11L2,0.6068733498448092
CRYGS,0.6009884995439689
SRR,0.5986963931982767
ARL17A,0.5930122258039051
SLC4A7,0.5903283237793109
BBC3,0.5894545737355125
EIF5AL1,0.5889841227584006
SLC27A5,0.5888176540656588
NATD1,0.5868557559587699
C6orf226,0.5833066446231823
H4C11,0.5819049834676372
NUDT13,0.5815640011013947
ENKD1,0.5813140561829794
TMEM160,0.5809904671577317
MKRN3,0.5801531997802607
GOLGA6L4,0.5793953584942038
SPATA18,0.579110199725841
PABPC3,0.5748849201162523
SNX32,0.5736203352202296
NAMPT,0.5720336141499633
ZSCAN23,0.5720054477127826
HMGCS1,0.5718687628916037
SPA17,0.5713441698418525
ZNF117,0.5674797043654277
GPT2,0.5669471685412989
SLC6A6,0.5651679224936811
PHETA2,0.5637348480725198
DCAF4L1,0.5618564937499259
FOXO4,0.5615453859485776
UFSP1,0.561256403980651
C16orf86,0.5610826220901833
CDKN2A,0.5605929228820452
OPN3,0.5573829053310986
RSC1A1,0.5573636731878535
PCDHB9,0.5564701597684265
HSPA2,0.5563993394354991
ABTB1,0.5557402600365847
C4orf48,0.5541678513329494
PCK2,0.5540559967914769
LRRC39,0.5538334492481544
CHAC1,0.5536478620499093
CDKN1A,0.552736425681521
EIF4EBP3,0.5525802076726667
LRRC29,0.5515158510909481
ZMAT3,0.5506447600718194
CPS1,0.5506318330964642
PTCHD4,0.5502367005076185
H2BC15,0.5501509909463007
AKR1E2,0.5488995891476514
C5,0.5488236203850306
MFSD3,0.5486598630846224
APOM,0.5484502401267332
ELOVL6,0.548301038775907
SYCE2,0.5478722886122193
CCDC17,0.5472144803144618
MT1G,0.5470637104489243
ITIH4,0.5460395033126373
FAM102B,0.5459015643104032
FADS2,0.5458427130360948
DHRS13,0.5458322488678213
PABPC1L,0.545438402390168
ARL17B,0.5452927173254358
SLFN11,0.5450799947511829
FBXO36,0.5450357349862648
DDAH2,0.5448733358501523
UCP3,0.5448651979244056
SMKR1,0.5446068896130815
H6PD,0.5445761346294543
CFAP70,0.5429955026717322
MASP2,0.5429890348113288
NBPF4,0.5429569610718561
ZNF25,0.5425681814548395
NPFF,0.5423719866190815
NEURL2,0.5422878384497472
TREX2,0.5409961205167763
CCDC39,0.5407565338911354
PRKAR1B,0.5400297663228415
SLC9A5,0.5400168576322153
MYBL2,0.5393959345957814
ANLN,0.5392151481162302
ASNS,0.5391332081686803
CCDC189,0.5388755690177311
MDM2,0.5383788113148658
CLYBL,0.5381599290052406
CTRL,0.5363861607439431
GPD1L,0.5362764511535407
CSNK2A3,0.5362717749515955
NCOA7,0.5355349577710188
CAPRIN2,0.5332349037013481
TRIM59,0.5331232317681247
AMH,0.5331102133519344
EBLN2,0.5319372679012235
CES3,0.5316230903228657
LMO4,0.5306312350207807
INSIG1,0.5304557026127678
HSF4,0.5303487705241643
SLC43A2,0.5303414070033584
H2BC9,0.5303108345932466
TMEM65,0.5301597148154993
BBOF1,0.5301198793678814
UQCRHL,0.5288904321036801
USP2,0.5287691196465328
IQSEC1,0.5285437641144991
SAPCD1,0.5281369121476048
NEIL3,0.5280759405247131
C17orf97,0.5278105171377527
LDLR,0.5276546279805855
PLTP,0.527305726335061
MIF,0.5270778565669151
DNPH1,0.5268008145201714
AKAP3,0.5263310830898809
EFCAB2,0.5255240461351086
LETM2,0.5252207858675821
FTCDNL1,0.5249216779506264
E2F8,0.5240533210785446
INHBE,0.5239335859238373
PRR22,0.5239089578265999
CFAP44,0.5237700547470595
AKAP5,0.5235596321151318
NOMO3,0.5235464838033658
WDR97,0.5233303063514227
CBSL,0.523296961822283
C1orf53,0.5232774647712591
CCPG1,0.5229920356156497
TAS2R4,0.522879530776603
EOGT,0.5227482305759613
MYLK4,0.522566329462698
BSCL2,0.5222135630821279
RAB3A,0.5219588821072816
MXD1,0.5219449769646827
SESN2,0.5211345798534474
SESN1,0.5207463177963827
C19orf57,0.5206468969938863
POLR3G,0.5206362262842719
DHCR7,0.5202573743601493
KIFC2,0.5202158438158818
QRICH2,0.519989941643265
ZNF596,0.5198811784324376
SLC22A5,0.5197757272014922
LRRCC1,0.5195517139478181
ACAT2,0.5195428804678897
NRGN,0.519534617311201
GVQW3,0.5194297891315818
THBS3,0.519269404716712
H4C8,0.5189837303509168
ZGLP1,0.5186476289202006
DAAM1,0.5178732320147607
RHEBL1,0.5177014454859316
RIBC1,0.5176297301859136
NUDT8,0.5172838065479147
PROCA1,0.5170744744978508
IL11RA,0.5167807882607663
MYBL1,0.5163644910291126
IQCA1,0.5160303418900719
ERMP1,0.5155163445761529
MYOM1,0.5148198073394867
ARL10,0.5147606165939352
ADM2,0.5146906022665233
HERC3,0.5146281165669799
KCNMB3,0.5142438481975055
CEBPB,0.5139029166916724
SFXN2,0.5138052284711722
TTLL1,0.513804969558847
ABHD2,0.5137398194803533
AVIL,0.5133108711538055
ALDH1L2,0.5130889998692705
CCDC163,0.5130035685312233
UBE2C,0.5128259259676962
SLC7A5,0.5126857793007288
H4C14,0.5123454658936719
SLC16A14,0.5121362000483182
HK2,0.5118830714193233
REL,0.5115333162920662
MSH5,0.5112741345203613
NUTM2D,0.511127101017618
SHC1,0.5106385866456695
UHRF1,0.5102436226484993
VEGFA,0.5102183033788847
C21orf62,0.5101496699354603
AMT,0.5100528708345766
ZDHHC11,0.5099744320393125
TMEM191C,0.5095947519196249
WDR31,0.5095175016493599
DDX43,0.509165853112982
MAP10,0.5084502732851132
DNAI4,0.5080526645940031
PPM1M,0.50797859436919
PPP1R3F,0.5078898799418117
IDNK,0.5077863923941306
IDI2,0.5071595622114664
CCNB3,0.5068753207869195
CCDC152,0.5066085356290758
RGPD8,0.5065262147019958
TCEA3,0.5064439077961513
FAM229A,0.5061026485368806
AGER,0.5057121546482098
DYRK1B,0.5054005643537754
ZMYND10,0.5052809634050988
FAM72D,0.5051865832063321
CTNNAL1,0.5048003961834298
TACR1,0.504769191471063
P4HA1,0.5045779584907196
ASPHD2,0.5045526092849424
ENO3,0.5044978226182101
CCDC146,0.504446954843902
RP1L1,0.5041795072203898
P2RY11,0.5038734670172407
TNFSF13,0.5037377852855437
MAP1LC3A,0.5033721558195513
EIF2S3B,0.5029551189891136
F8,0.5029340425190891
MPV17L,0.5028103249740801
LPCAT1,0.5027944998303819
PPP1R15A,0.5024209970714505
HSF2BP,0.5023588297844557
BRICD5,0.5023452229415877
EGFL8,0.5021587059929696
DIPK2A,0.5018799656996061
CDNF,0.5018057042886859
HMSD,0.5017784268824419
SH3D21,0.5015184467210965
GCLC,0.5012365000228752
OXR1,0.5012058186526351
OR51B5,0.5008608095042202
MXI1,0.500852142955175
OVGP1,0.5006439134537304
G6PD,0.5004175679124692
GUCA1B,0.5002339987682127
CLDN15,0.4996978107646508
TRIB3,0.4993015981152058
CHRFAM7A,0.4989224135411584
HES7,0.4987470171508886
SLCO1A2,0.4983970157433324
LRRC34,0.4983021610711127
PRKCQ,0.4983006241854428
REXO5,0.4980721233417914
C3orf18,0.4979345244094624
NPIPA5,0.4976135546430878
RYR3,0.4974862635045641
CES4A,0.4973866738895266
SLC13A3,0.4973604854977086
MCMDC2,0.4973186738286395
PPARA,0.4972376728259559
SEMA3G,0.4972136951161665
IQCN,0.4972096546744679
SLC23A3,0.4968996729664824
HYI,0.4966873487080788
