,Latent_1,Latent_2,Latent_3,Latent_4,Latent_5,Latent_6,Latent_7,Latent_8,Latent_9,Latent_10,Latent_11,Latent_12,Latent_13,Latent_14,Latent_15,Latent_16,Latent_17,Latent_18,Latent_19,Latent_20,Latent_21,Latent_22,Latent_23,Latent_24,Latent_25,Latent_26,Latent_27,Latent_28,Latent_29,Latent_30,Latent_31,Latent_32,Latent_33,Latent_34,Latent_35,Latent_36,Latent_37,Latent_38,Latent_39,Latent_40,Latent_41,Latent_42,Latent_43,Latent_44,Latent_45,Latent_46,Latent_47,Latent_48,Latent_49,Latent_50
CopyNumberAttenuation,0.0258526963197672,-0.24803441747057695,0.05892792412465608,0.007593636914714617,0.05591750200669063,-0.07420260047692462,-0.0316707701573725,-0.029703349329762697,0.03116248558225406,0.14559019692637729,0.09237968717312355,0.03011420183696267,0.0065311613698995075,-0.05191407407513465,-0.05020302692730463,-0.09337735663402084,-0.07620038772243964,0.09733956846275864,0.07398967089717409,-0.014134733048083485,-0.020488837433615625,0.01083833122447317,0.005472611635177113,0.06553827069177949,0.08872435600742073,0.07964933509821312,-0.05945106381186153,-0.06281442010615695,0.00038113875824907886,-0.24681830121250636,-0.09311868016696533,0.0022375668550664567,0.02344610620225346,-0.05313247544404417,0.05418319023545232,-0.03115825834066448,0.13941049644779283,0.00540336211673725,0.03809941242764878,-0.004044551309949367,0.06653073541546918,-0.17467229740569448,-0.08382403856818195,0.12165047400141618,-0.04343273545348827,-0.05386006755774065,-0.0995942367855424,0.03349561606093429,0.04274762377299348,0.05164008264215471
GeneExpressionCorrelation,-0.016556316579735372,0.08480233670616404,-0.011356582290696665,0.06326951389140416,0.017203541692499224,0.020846621123998137,0.08829562660787658,0.09142079017519661,-0.02464752401670029,-0.04595807202723297,-0.04845201408742806,0.04036190743178234,-0.06780816377408301,0.04924737459943755,-0.045593582636632296,0.01868313981091943,-0.03423930203879486,-0.2950527897390284,-0.09331721652005197,0.03668171870930814,0.020148382614573256,-0.04656314060331426,0.05164229695029862,-0.08248557063626938,-0.04557796646141415,-0.0055186183507151395,0.03676008890796209,0.024003402327559636,-0.03334352182258424,0.6030782481372144,0.03444989040266582,0.054451404440988276,-0.01777280486423353,0.06252397016634405,0.07893592546370574,-0.009104753539981685,-0.059574225006983686,0.11279884859297004,-0.08753728109851121,0.009673122825901492,-0.040301667123786196,0.08600459206367933,0.10438927925345298,-0.12628580150341462,-0.020729945778150523,-0.03400521087022193,-0.15895531090482642,-0.06529046188130258,-0.010170418916751913,-0.02366520038422185
CopyNumberInstability,0.01201434574758482,-0.34423295507429696,-0.01400854856311024,-0.033854602213195084,0.0417428105504579,0.10487641491282738,0.1766644248749159,0.013418545968643527,0.10723373759952745,0.33464626776480855,0.10819315755442618,0.1432728042606868,-0.024945474671484228,-0.011019381902544208,-0.02988272598813528,-0.15162934437654094,-0.10301758355447285,0.023558456677497182,0.07820104874088767,-0.0970731037868294,0.10249936226461946,-0.007865924318707213,-0.0015335400581271811,0.0361256789889335,0.02330471967325583,0.03926042049757589,-0.1554786751263893,-0.03195057492618394,-0.05733507467482834,-0.28309102727526203,-0.034824255626333483,0.22836917583771651,-0.07389535379029284,-0.08772804991710748,0.0062155414843733,-0.012919714671409671,-0.019533580764869954,0.08803631640948897,0.03934943084478761,-0.0685442046580048,0.07700299806398217,-0.1289499265958345,-0.007060436261099923,-0.002206797974822543,-0.12048020210515607,0.06190962469671846,-0.09020279223106946,0.042460039005497295,0.03736193393832346,0.04382733679889431
ploidy,-0.017124752709988287,-0.12088432450326607,-0.03735009750706057,0.03396296577270855,-0.01228527356515053,0.11565879124349712,0.0736778254264887,-0.03277296175332344,0.06103149463885528,0.1497150261779747,0.0121683912406857,0.08275516738407011,-0.004494890547693376,0.010645689851244778,0.009019668262167543,-0.03106179020883818,0.018618175651291577,-0.0016562655144994381,0.029870604536444658,-0.04303882854655839,0.06178744635457283,0.01904645442424083,0.010211269416706975,0.07645438477033001,0.022075503520852576,-0.023427939021609463,-0.0393515110638003,0.011832024427464536,-0.10260353871052545,-0.11755488649224503,-0.0016731713406305906,0.09836187073201824,-0.05910131905874289,-0.05145201545727616,0.007538904265897533,-0.028091886698629158,-0.03715991624091954,0.03226181529473478,0.004587218424800194,-0.010331614102722203,0.010216752942470878,0.027870065939456946,0.0454787841566127,-0.015400202041799455,0.011981984636921135,0.05550975326263144,-0.09377721792914258,0.009904005460959774,0.017453136210293173,0.05603781393513235
mutational_burden,0.19149370443898064,0.05628346506396873,0.01217543595359669,0.02264650050522795,0.03389621179605787,-0.007371869399020616,0.04261727788137358,0.07084985198834379,-0.040032518610081454,-0.0542007851681336,-0.09824413199699977,-0.027197142938326466,0.03430003462107475,-0.1195792503109413,0.00803936173003881,0.0774951722301184,-0.0020076298682038096,-0.035771173940874756,-0.018630792889391203,-0.19062177396969648,0.1008168849306017,-0.03296014349530586,0.05399951616123258,-0.06701358119600948,-0.02449519211508935,-0.056607925829441484,0.04844734485236766,-0.0110381227229976,-0.004392975144795171,0.01930563367620474,0.0011303100956803305,-0.08591687059474175,0.054603804649275875,-0.08498664054420696,0.013856795897231145,0.11618300506315957,0.058854800952268665,-0.007271021384632674,0.04558513934589768,-0.20363772841843994,-0.03295287790218977,0.03530892807169417,0.10045023495375145,0.04280876730801101,-0.024681832867905002,-0.15923660388921465,0.0976515715132592,-0.04124897653144671,-0.01815890831071156,0.07426488989474143
growth,-0.031732319502465224,0.12191667236323835,0.1674110144573747,-0.07701236986692948,0.011865667459797724,-0.09148477081338242,-0.08479922554887438,-0.06032082402341703,-0.1099726271071727,-0.1519379655516298,-0.2084679498703266,0.13750084769600826,0.014379333150202352,0.0986791912207738,-0.07103414906406466,0.3399143881145888,0.1901980949358363,-0.3959691167588002,-0.16902348876110768,-0.01239333389229882,-0.09345839545434767,-0.13862479358200883,0.035640639378801096,-0.03293832518805272,-0.019146991448314683,0.011232736539419445,0.0718517009706951,-0.12037855279541881,-0.08064502773857385,0.24737589618970335,0.12374410496680761,-0.26993367431958937,0.14843969951928918,0.20542475509629357,0.09700733179210697,-0.0961915745521769,0.36277221336996784,0.14187520320393307,0.032205762731741125,-0.04388092302009605,0.11935554011574497,0.08849682902437139,0.03408529412164581,0.01006736479550703,0.19950148131973242,-0.11284962802252237,-0.29953711691234336,0.05630561596090165,-0.16037219494243365,0.11034878363337153
size,-0.32591438175740983,-0.16074292713337374,-0.13170529670017958,-0.10112180911659197,-0.00858342269406013,0.10611216455706828,0.1610114908917653,0.05846735228755783,0.02531188976340447,0.2671582046992178,-0.06264707047725383,0.08480365756877688,-0.012709872837377317,-0.027133198151166778,-0.10284792766963854,-0.08652899034048604,-0.0265511627630799,0.15297314918097216,0.08975321566793545,-0.02749554088155287,0.044465308969488075,0.08611715958875346,-0.07699495471541634,0.12488174857926379,0.04422598598755653,0.1272024537517609,-0.09190231945127705,0.030358479920736533,-0.04651819538670597,-0.17908425183513016,-0.054516827997391354,0.3009665339625323,-0.04738345977880726,-0.08500055087392483,0.021039310632633503,0.061515270079335764,0.02983108602723508,0.200629913351352,-0.06809517242235395,-0.0765839422999993,0.07981197344697817,-0.16308698342763658,0.0946465101745929,-0.013604886270120128,-0.03935667683877166,0.01277502262307848,-0.0905127583372656,0.05975511654976219,0.059386967248679166,0.05017148302140645
RepsCorrelation,0.193839802321508,0.03240700702442394,-0.08936413626583904,-0.038342715471150195,0.001241862755507319,0.010233580259784957,-0.03126292676788322,0.0066976526887539654,0.12531908673335518,-0.0583381416274274,0.022287412092423076,0.018213678417233335,-0.10883106581572427,0.06717045274651245,0.0649231546962913,0.05005405772404789,0.09117814950712423,-0.2688678638345405,-0.04415891307031666,-0.0846822218572644,0.08329241659773705,-0.024171898503214412,-0.03717566993250733,-0.009364224437084219,-0.046912537266396596,-0.017078115531866552,0.07064193561348926,0.0443989374516421,0.021125724051471936,0.20819860679624966,0.05959918985527288,-0.033661363209963935,-0.16747306619351968,0.0554085215729719,-0.020245586355531746,-0.014533399562472573,-0.0054576391468151965,-0.007807311320306292,0.1862724422992142,0.03221262856864184,-0.03604400229246995,0.0752705181231775,0.05604451658860657,-0.07961942194673764,0.010324233821737255,0.0859678164328171,0.09842738217316499,-0.09239448987850467,-0.0881817592599891,-0.14606953392651723
CDH1_prot,-0.1136733360181518,-0.2957440179412009,-0.12343221839693287,-0.06485415747893893,0.07105163332126284,-0.03367318630999346,0.14293618353639134,0.07957849320493725,0.1310502937368794,0.08557415271277594,-0.16887604770907505,0.09714174481991936,0.00249274679596468,-0.05872091034899813,-0.02063549036255537,0.16972334316756896,-0.013799647927673792,0.16668522854032647,0.027673537341153652,-0.15263041304543168,-0.035195006289954284,-0.056894097992106006,0.07663289823863939,-0.010666017691760806,-0.04029736970831646,-0.09626684206707666,-0.1749312530572969,-0.06664600015485538,-0.05769267534064888,-0.0918316438320622,-0.06706867344405076,-0.07410628664867061,-0.02122580260673007,-0.005458525017914824,-0.19666992243908854,-0.022268105737552293,-0.02535615056243881,-0.05692312231038565,-0.07121274051413093,-0.18056806658695485,-0.11819439878649757,-0.09239884042366737,0.19133120239582682,0.06731968424652027,0.04513929477262959,-0.16763645841683786,-0.3514620507720144,0.10835211297487629,0.014986549567555364,0.08934160217621594
VIM_prot,-0.49015506860568375,0.38078054147077967,-0.031428111365288766,-0.0405385373684352,0.034945260201015224,-0.06240172844759069,0.0491070652367055,0.0010107003384597403,-0.003764591280203474,0.07407940526853496,-0.16728187334307854,-0.05838773575288938,-0.05808806718145503,0.005630822220082527,-0.12612484883186506,-0.1296749773003131,0.03647615641810863,-0.10627591921541062,-0.007506175148198604,0.2230225369267936,0.07411189907571335,0.0902661840865476,-0.09397607907097782,0.25437857000459163,0.040232138643103973,0.13609385008821412,0.01735034647931409,-0.0937126697742082,-0.05457901729050288,0.14541028523697558,0.04331807876004128,0.3093327479735981,0.01297242519933911,0.05136851844802922,0.14847758586839713,0.021679630436175767,0.07755769049269041,0.09479140026896095,-0.10870749046545308,0.08585198104583604,0.2159090961879822,-0.033471638419776184,0.12536132626601734,-0.1384903817239848,0.1271558301223671,0.05974596997349942,0.014571047246758416,0.12262690491746853,0.021911489922638742,-0.0027511392105420214
CDH1_gexp,0.23465274897814545,-0.5751144010144741,-0.01993088161109332,0.003532475746849833,0.035258925488989436,0.010910553826306277,0.06192066243973297,0.1145675595448789,0.03761990259108142,0.19370874878088112,0.09540326498157158,0.2255067002956824,0.018465111577620336,-0.04664336876668257,-0.015548141313425565,-0.05022602463592188,-0.027826941501318234,0.30670236054399713,0.0788168099712359,-0.31877899231336776,-0.02275521852844667,-0.08442016711813373,0.07307715757964446,-0.0016256108058895805,-0.04162628224898601,0.006985182991955852,-0.15021809268229228,0.024586846562502436,0.028508170023429865,-0.3747356754074033,-0.05437668286372594,-0.07890754969488391,0.010362410682742369,-0.07062526411506559,-0.16435313498474483,0.09962506491767893,-0.008150100284884014,0.12141293871934186,0.06351452133815931,-0.13838726143748237,-0.28322981332990765,-0.1140188598253734,-0.0996252329214887,0.10711415368939278,-0.022371534809681674,-0.12358708629713976,-0.11639413260972062,-0.10844401843192504,-0.02475581973130212,0.04223172831659656
VIM_gexp,-0.3897514264559207,0.4703062767464345,-0.04699829397283337,-0.025120991870245725,0.03521526953472193,-0.04298514804470045,0.0428901673076323,-0.09431639152753121,0.002214051236183728,0.00408118708194281,-0.13034273919860945,-0.05857551958505752,-0.047131708048187684,-0.0031179025973812817,-0.08850040280733788,-0.08505353060072347,0.05323642326343016,-0.14264894999727418,0.007839083710464505,0.275905668261965,0.0423137173548949,0.07531390164198591,-0.08242750658912214,0.18947070920023523,0.020466466661196035,0.12005895245269206,0.021697682665159305,-0.08003176431847794,-0.0796516224381881,0.2014842318461655,0.01647204591808372,0.3057162955803945,-0.017981106275212617,0.04915263749503932,0.1505845321290707,-0.033786080987406285,0.058702194265773756,0.010741045402647502,-0.052905072380159734,0.10753413415067649,0.2808252856366213,-0.0009316301432805632,0.08007230287413326,-0.05857209545806368,0.04487701839605507,0.043082717830826206,0.07355805570853141,0.1327088623960697,0.04170878534919871,-0.025234370325181454
D/F12,-0.12583209308810625,-0.14052119349748757,0.10442289585672036,0.0326072811470206,0.0184462002071141,-0.02430749496260011,-0.09400993584650838,-0.055275866075635546,0.024768216651031183,0.13704864403115113,-0.041689470741931356,-0.10977221307885165,-0.14362694378362423,0.08214686482521608,-0.2779901969978645,-0.052217616003037766,0.02588424223041463,-0.01286589339473357,-0.03456773970671927,0.004675717417310777,0.10865933698613348,0.027018259651518488,-0.06452944883314243,0.14227553258874465,-0.08683274115717757,0.1084317512694165,-0.0504431344116439,-0.03431920646555008,0.03253522890158603,-0.14357263039778215,-0.0258401487358948,0.20242288926583582,-0.08404214723031349,0.046875499204609365,-0.04932309799429645,0.17212159820005235,0.031931060316519676,0.14240069256201104,-0.08611377462765658,-0.1912358646677372,0.10125421933776037,-0.016015408703358096,-0.11690632458786168,0.11619489289404054,-0.10747729892502926,0.0021769573103944864,0.03682423276755559,0.07470338982836214,0.0805850321950299,0.13667176434399217
