,Latent_1,Latent_2,Latent_3,Latent_4,Latent_5,Latent_6,Latent_7,Latent_8,Latent_9,Latent_10,Latent_11,Latent_12,Latent_13,Latent_14,Latent_15,Latent_16,Latent_17,Latent_18,Latent_19,Latent_20,Latent_21,Latent_22,Latent_23,Latent_24,Latent_25,Latent_26,Latent_27,Latent_28,Latent_29,Latent_30,Latent_31,Latent_32,Latent_33,Latent_34,Latent_35,Latent_36,Latent_37,Latent_38,Latent_39,Latent_40,Latent_41,Latent_42,Latent_43,Latent_44,Latent_45,Latent_46,Latent_47,Latent_48,Latent_49,Latent_50
CopyNumberAttenuation,0.030214754463094993,-0.06009834445713671,0.014877848838436248,-0.003731288238022829,0.21374562031873812,0.01932789183624532,0.10145460031438298,0.21392229827677137,-0.1391428269466178,-0.024767423047271014,-0.20119087445085385,0.20063029454875925,0.017967749994686647,0.06391736194962906,0.1480671497004164,-0.10485746609193859,-0.0022540041955931406,0.16470432510503863,-0.0838741063772574,0.014921384712025624,-0.25796696484628256,-0.08681204789720208,-0.061137804535008944,0.037459647830138665,-0.03922199426322181,-0.16308026891716326,-0.028697822698828875,0.028316042838635147,0.11776035752277333,0.06384131186227289,-0.08666704531553525,-0.1270218914318731,-0.021650631001976,0.08137101052322977,0.14143683452085168,0.08380858646562693,0.0039094442617624275,-0.05575442531084005,-0.04771283771329046,0.010720565036237832,0.012105108053502081,-0.22988364661828953,-0.04506704001991987,-0.09711964456848186,-0.006507482222893642,0.0037361333315898645,0.18021447175623956,-0.045234189392514404,-0.07054093379306019,0.09765634852146964
GeneExpressionCorrelation,-0.07408703514999714,0.16583051400787055,0.041322902938710715,-0.09221672266940553,-0.14047590487233463,0.10866869631316177,-0.0640860094615941,-0.1798488006248208,0.3441500531024336,0.07059130981325042,0.24518066987917292,-0.21745973571346555,-0.05659145417984321,-0.13235212080174089,-0.17841785806476976,0.0944608387486324,0.12806180685629,-0.3067445901427617,0.025618524440152682,0.00477479208237722,0.1533549268024573,0.1209677698028015,0.16086555234456038,-0.10310712131442945,-0.07046798026500452,0.12444973850947234,-0.008128198786352035,-0.0087655494695954,0.03868047029249748,0.07013511757180246,0.026233430357862065,0.04923420396590621,-0.14903490923007773,-0.04002442543919471,-0.1258119206150888,-0.12426179816840809,0.1171310108533544,0.02879890258801137,-0.0136458766397623,0.10618583757216533,-0.005198351981524091,0.09387179966494956,0.08547641852028626,0.1382385427840322,-0.03742277903755309,-0.000454362997757607,-0.38335464314679973,-0.0020529080078321867,0.05589713307432307,-0.19386333151502766
CopyNumberInstability,0.12333796879332218,-0.12150373783558172,0.1289920360075944,0.021174253218147785,0.12629490474554286,-0.029716607341871683,0.13394376853136644,0.2543582317406705,-0.1624903423334203,0.12545382944705216,-0.27544972069003865,0.23100779306224772,0.03953591724281683,0.0445188698354457,0.24249639592120353,-0.21449556967784372,0.03092572005357666,0.2210633523557855,-0.018653399050855373,0.06267763148165809,-0.2643286953400539,-0.07587425603472524,-0.2021569882221364,0.02467038466233627,0.018321703271769012,-0.28927446317047834,0.14914949374964598,-0.023665050728471904,0.16830513728468557,0.19928160063738196,-0.18826643936410434,-0.28316613895414566,-0.11553417964346178,0.09782274222035346,0.20612656041455035,0.024259877490252522,-0.049988249260881974,-0.020258686728028937,-0.11746302274741448,-0.09754677449577,-0.04186143681088617,-0.3112444740671706,-0.019777425105114415,-0.23167282608563264,0.0306777415625008,-0.12475799601285274,0.28472760815767667,-0.2735024382056376,-0.16478375094187514,-0.060872138907793714
ploidy,0.05814555693645329,-0.053893532402184495,0.10713773501441093,0.03743458001260609,0.0155318993702829,-0.005783484736311085,0.028789271047538135,0.09110102063341764,-0.07257126501894462,0.05623618207564343,-0.11664306828581543,0.08215751703501659,-0.002351677497291141,0.0319474317330129,0.0838499794809185,-0.10266813800992934,0.06612846091874008,0.06809474418788704,-0.04014437709904691,0.004787221824735117,-0.117468559429461,0.0003996106834549889,-0.1016035038551178,-0.008227654990315997,0.03180434780200401,-0.09436713331016283,0.08731977606051158,-0.031284084061830135,0.07393564468505195,0.08172287135814138,-0.045438271652615984,-0.11189929896655218,0.0015926337063556866,0.037873698957408754,0.10457964702822954,-0.025344157718345785,-0.0876861294434505,-0.009931308260432932,-0.03504684200088008,-0.06647487969503779,-0.087398490530063,-0.15662660615132756,-0.028134545236971578,-0.13933170861530744,0.013135335209094648,-0.051788964083014165,0.1170987663059452,-0.10830383644328263,-0.07892829272831811,-0.020429127178385544
mutational_burden,-0.03956664431141276,-0.03223828091995045,-0.03476714647449447,0.0762441118962555,0.05486379245618722,-0.10725079365567843,-0.02136718252159352,-0.04455847320835033,0.03904093255023947,-0.0028205777828739977,0.08774195640946937,-0.008956490384598517,0.02434292074123176,0.11577684503099622,-0.06729562951169443,0.09599889124198692,-0.09066172545880614,-0.060030388681555115,0.01578877489441939,0.0237164639798659,0.054520959673629237,0.053139371162345475,-0.027410825548716027,-0.0509318896265972,-0.021791385996177835,-0.022462877623066046,-0.005098761325693936,0.16366829604500455,-0.1659619766346802,-0.03729725913820536,-0.039159811944458514,0.001218285933187582,-0.057778480267996625,0.00802278931911906,0.009054658203662394,0.10247243645190582,0.049446185074677663,-0.11754245658963405,0.03454210165142388,-0.08673586102512963,-0.1180328244506334,0.07888737518189766,0.029925427966018277,0.06594843132978159,-0.11132036894237482,-0.05398908770030781,-0.02621242868020425,-0.020864244718395094,-0.01106336660036484,0.00998140241476187
growth,-0.21972115666058856,0.2879476565172942,-0.11384029759420963,-0.13798374811766698,-0.033056710659155754,0.26392407802737994,-0.18843655168359924,-0.015152191873944381,0.1431016682781562,-0.2069672366385055,0.15625893920193418,0.0015136042018661468,0.07521873126429164,0.06133902540015304,-0.16636800034206528,0.06603904243262167,0.219486091858827,-0.28867613076426507,-0.2812097857453058,-0.15992283373215146,-0.06603566476992115,0.09472209302366888,0.2749025022652867,-0.2041745404556048,-0.07858876792548045,0.22335716798279343,-0.25768870816334344,0.02130086306107092,0.010353734536118568,-0.10309954666807877,0.033774051507901366,0.1636910151287578,0.03028631188784241,0.030205521141552224,0.02397101646159916,-0.1662456750468314,0.24357845817939613,0.06886844545805322,0.14918752651808523,0.29177133679119827,0.1486318293168901,0.18508361550782168,-0.11265386472647783,0.14295910185696956,-0.1726167476069353,0.18937124166697608,-0.26569218699465036,0.23597185610706786,0.12639621645095117,0.10580886198005299
size,0.12164354043157816,-0.05850106759823102,0.11322415669759814,-0.03281068230697533,-0.08028572419189917,0.1770164090263773,0.07313046637901846,0.30060632290368955,-0.07400268249840848,0.12298288880080598,-0.26033983113445547,0.23960838172121,0.034923455993395636,-0.02345078567688855,0.24861164527862242,-0.3091041832220881,0.04149804914449643,0.19938336655826547,-0.11188832111157199,0.018668519800986397,-0.27042815021676153,-0.004334893980987741,-0.17370113537703133,0.07340721675606238,0.04574970491644611,-0.26568169228001304,0.2799004419585081,-0.18453805346269508,0.33830890844739353,0.30882475939022586,-0.08092396383291961,-0.3238571340544792,-0.18778390090073593,0.14004669795972566,0.24884179210349894,-0.18444231097767425,-0.1983201902009398,0.19864196389368624,-0.07014710643209979,0.029630788197249944,-0.00015524363419221516,-0.28097283180186566,-0.02517533918044367,-0.19902164720152424,0.07672573487963083,-0.022610967563021944,0.13264814139442108,-0.19285061443542018,-0.04722744157260214,-0.21220707566059543
RepsCorrelation,-0.0653899215116217,-0.0023168826716932008,-0.016938609982807253,-0.0312880597471621,-0.03229527259598236,-0.06419954850354963,-0.04397853402174334,-0.12645198630721222,0.07439506769164664,-0.024961430555943305,0.15454132840518245,-0.17228583868111144,-0.027661245460389818,0.03492238323757439,-0.13220676091456418,0.12362689579290012,0.01387545432143857,-0.11437036614030928,0.14213158642374457,-0.001474834669970331,0.1758837497329267,0.004850406526286579,-0.0013133328292893737,-0.06692254018222314,-0.04218049840190896,0.11518779879217539,-0.11069532321024093,0.019937370503225887,-0.17598138126124344,-0.06942996582555189,0.03929151877685975,0.116608836574867,-0.025539174081572257,-0.09399165238182768,-0.08950814437787401,0.013809106848906297,0.13588012786999726,-0.12001049396078678,-0.008688530059493904,-0.039657829236136484,0.012067724208647565,0.0507732453282082,0.04176591637365592,0.09822220266299188,-0.011685603384889578,-0.02899004240869239,-0.08291472123722228,0.02454847483019769,0.006448254167994409,-2.1615235539400144e-05
CDH1_prot,0.07778644150441848,0.13096378143492177,0.010683287473883158,-0.0032444402716286045,0.23600536838676603,0.03081686857749395,-0.033984331197470706,0.292049701859837,0.007126149895352861,0.062020369836112976,-0.2594981326326832,0.26096327897510113,0.08921804560265165,0.0015301281185170787,0.17064751715107263,0.06066038815802177,0.010569554098892197,-0.07420001104444969,-0.15831393978003025,0.15702612607730473,-0.3613703643026548,-0.042473883253155854,0.08501016676844061,-0.23983961835182582,0.04481026681788728,-0.010095614687244832,-0.05899725320238293,0.25713152577835957,0.23785640364855776,0.18365483474550473,-0.3099616354896761,-0.2904779583972679,-0.07769902065579953,0.21867549650825563,0.12714482390990972,0.0338222106723583,0.07818266330397212,-0.008923443068690924,0.09713590592474733,0.09506494092426844,-0.09722341395968055,-0.12454320325797341,-0.05027230910928484,-0.2597156627352686,-0.2637908165560563,-0.025297332354909382,-0.01739297594808049,0.006946660626236606,-0.06964810698336694,0.04798512254503853
VIM_prot,0.08614969191086949,0.08122627641913281,0.07181158394669436,-0.19215883770131673,-0.4016818442306977,0.40931523373222756,-0.02115870256667421,0.020321501535720658,0.10307216913093063,0.019410802792709632,0.06596381440352221,-0.10588788569729632,0.03518120719631941,-0.21849457863469907,0.06592044523523473,-0.3340126570686855,0.12198065489571487,0.004543022916193204,-0.17301241751797233,-0.17066122697587005,0.05886272414704651,0.11876613078614648,-0.06423443631886613,0.26420779864734356,-0.04925584366704086,-0.013710223161038449,0.18610032375134067,-0.45045082189004243,0.353233384550818,0.17208483013030862,0.2730900802098948,-0.023214330577089444,-0.12986286482727313,0.037589096180171894,0.08769611180758481,-0.47376325487225435,-0.15162029658373272,0.36474191429428593,-0.015034370811233997,0.2654881473276112,0.11280719907106321,-0.02191601146730636,0.025642759372256255,0.015682655806249543,0.2395552497953985,0.19077631118708963,-0.1436953497610278,0.03983857035999608,0.14168538566376804,-0.2621601462943736
CDH1_gexp,0.019831085739379282,-0.1569451150735506,0.08278693438523767,0.17622112408531887,0.43891332913323694,-0.18062740147989134,0.05123249341688439,0.34605674117391894,-0.16413122100944197,0.11151174163375017,-0.3356999802988479,0.3629904286596016,0.058555990575293,0.20073694398105785,0.2297699307825702,0.046598569834982125,-0.045456464347953654,0.19926772708078333,-0.008059668138845703,0.21625952190309922,-0.42699369665218817,-0.10059041775023463,-0.11632663712013358,-0.23217243192027764,0.08746255348415101,-0.2516844829346592,-0.006287778163595032,0.3475606156337938,-0.02276711960667877,0.15568672153837584,-0.422100203170081,-0.3850433072401322,-0.11067522920724712,0.12970714168373154,0.16681370269849458,0.3625520085249642,0.007165942397672979,-0.1883653014029119,-0.013897939402863713,-0.13452468786955588,-0.11177472612092547,-0.2953559492828471,-0.09871499358767752,-0.2326858218592155,-0.23632306912629525,-0.24769594012134277,0.30783476652376146,-0.27431182517264324,-0.23030664396837966,0.10567590780797606
VIM_gexp,0.07539945003606478,0.13436927936966991,0.03220950533238095,-0.1924507879246584,-0.4134746840231682,0.35681591225151144,0.004067627598181646,-0.030492991004050507,0.07941207403990808,-0.039228960372992595,0.10710538817311098,-0.13024295814568335,-0.0013040965149918092,-0.20968935981727815,0.02689063522557691,-0.300718580468238,0.12840636131745137,-0.06562271719623437,-0.1748084650567569,-0.2226533767680305,0.10671292107173984,0.0750029283240798,-0.006063222494341006,0.24489902645131548,-0.041426717102175076,0.061547828618480065,0.1534242530749635,-0.4459616438881217,0.33507992946678017,0.0718238505975432,0.28821660801071003,0.07834735736884255,-0.05773977921804517,0.024800030011867126,0.03220322727641367,-0.48106408678068596,-0.10590294763067695,0.3709530766770095,-0.004514342585510519,0.2767864190778717,0.148592448887315,0.04921091848283453,0.04939029923280681,0.028387915625574214,0.24711007344542407,0.23797747634456373,-0.17552932502164978,0.1050709648176106,0.159860206651521,-0.23170789255922905
D/F12,0.07013076200797533,-0.07250853460516181,0.046357231733304485,-0.06350827155198642,-0.04156272833531078,0.1394022508629089,0.04501330757401899,0.1715089122370072,-0.09471422087678794,0.04644479655575225,-0.15164274883668982,0.14398524133679536,0.005497585192694088,-0.008990848836774083,0.12235150102418359,-0.22038913730263895,0.03259701989727166,0.1136637308714014,-0.055686567709150175,0.0067013863888382205,-0.11242130481175486,0.005066158186779202,-0.09458295290320948,0.046067562899682876,0.013479102738859324,-0.168228604591238,0.08930076903885613,-0.12193125719135504,0.13079344983862015,0.09103184224392813,-0.013295658764404202,-0.12637436146888645,-0.13823479920164225,0.05000234771478236,0.16880256554087367,-0.10667604841574244,-0.07157239643943179,0.07177033228966558,-0.05286946033729455,0.01899581033812897,0.03992221383565323,-0.1488939480745449,-0.03872664112047249,-0.09086087990529125,0.05365448700181033,0.0008891180256259235,0.08325584351469244,-0.048468145965548964,-0.05816697206056653,-0.04271990434713785
R,-0.07013076200797533,0.07250853460516181,-0.046357231733304485,0.06350827155198642,0.04156272833531078,-0.1394022508629089,-0.04501330757401899,-0.1715089122370072,0.09471422087678794,-0.04644479655575225,0.15164274883668982,-0.14398524133679536,-0.005497585192694088,0.008990848836774083,-0.12235150102418359,0.22038913730263895,-0.03259701989727166,-0.1136637308714014,0.055686567709150175,-0.0067013863888382205,0.11242130481175486,-0.005066158186779202,0.09458295290320948,-0.046067562899682876,-0.013479102738859324,0.168228604591238,-0.08930076903885613,0.12193125719135504,-0.13079344983862015,-0.09103184224392813,0.013295658764404202,0.12637436146888645,0.13823479920164225,-0.05000234771478236,-0.16880256554087367,0.10667604841574244,0.07157239643943179,-0.07177033228966558,0.05286946033729455,-0.01899581033812897,-0.03992221383565323,0.1488939480745449,0.03872664112047249,0.09086087990529125,-0.05365448700181033,-0.0008891180256259235,-0.08325584351469244,0.048468145965548964,0.05816697206056653,0.04271990434713785
sanger_Adherent,0.09777896972134545,-0.13858522633471643,0.12409575637118457,-0.115458380115542,0.14412373766393555,0.19422964703047504,0.1258672789496314,0.3747006473942884,-0.06700036782774366,0.07332210715098302,-0.27891293680685164,0.2737342308894604,0.08865336477046025,0.02249474959135084,0.3112259333963161,-0.29353039466114517,0.09105228513335696,0.1391384589856241,-0.15771027607663893,-0.03601053767773587,-0.35809478354552676,0.06267275337464752,-0.22144145098680704,0.010088160086981175,-0.06027957266495197,-0.36955252704368285,0.1654784731120372,-0.04732930158589013,0.24559238812685039,0.2322008550870522,-0.15294652017742424,-0.29555543271329693,-0.2642101643074849,0.17928032611702852,0.35699985838543913,-0.14487737256553368,-0.010366746385974212,0.06055761036342214,-0.05446272992127278,-0.00024416954379015627,0.04101287165997975,-0.2935182559610798,-0.0626574857573249,-0.2127543347352965,-0.017563183753027723,0.006333077113331428,0.27740887632414857,-0.2629207035465661,-0.04096551601756,-0.13173100666218474
sanger_Semi-Adherent,0.0070887320130182925,-0.03379102426314777,-0.004706776307682975,0.026475942125277215,0.05217293653513369,-0.12078483162330439,0.031107716812512457,-0.0387103714142897,0.018351405472706257,0.05786368863514592,0.06882822140873869,-0.020263981643250002,0.033369088744496456,0.058459044813282485,-0.05626606524143751,0.043224767764062456,-0.0015852883930171748,-0.0005762517648088535,0.11588054794176428,0.029849567707695795,0.04399486449383223,-0.04107664085541216,-0.02003250805431046,-0.04687841884761578,-0.05515156848333065,-0.01889673653086487,0.028383385247106915,0.06788998736891697,-0.09868397518948295,-0.008914366931153264,-0.008513066662637724,0.005001399961608344,-0.003713658668843729,-0.014692361162702904,-0.09921896799298927,0.11859493103902902,0.0347401396796529,-0.057971677773476005,-0.03261664218051847,-0.11511157803570267,-0.01391900256349197,-0.014773175972334419,0.006684399459314823,0.017026451454365304,-0.012676343977691287,-0.04995040989389772,0.025124477085162963,-0.05731233670713765,-0.015991489958002814,-0.009761353971119349
sanger_Suspension,-0.1938202021786021,0.1812457560374293,-0.14184000817502068,0.15626391427631875,-0.11904357131221707,-0.29632754013799084,-0.1375584116680382,-0.4590975916597009,0.14116604452325282,-0.1516397663822298,0.3708018297126783,-0.3648548894483087,-0.10270299437497303,-0.0134290080325842,-0.33556821059954817,0.4627009273105301,-0.1529852524464509,-0.2509248088214478,0.19388305647639903,0.04363290024310454,0.45086287090487526,-0.01442465422434449,0.28931837501300967,-0.040965591196622055,0.12273129389577131,0.474025867182249,-0.19219026851330398,0.1671051293823262,-0.3452942706506884,-0.3188561572239108,0.11896979078760328,0.38956668646375203,0.3339672872297492,-0.17544097605657114,-0.4538244294947443,0.243510799822657,0.09381215882541609,-0.11730398276137784,0.11209590284084578,-0.077187235879043,-0.08659932170022351,0.3626855480344753,0.09743690702048736,0.2029492639201673,-0.01894641245965081,0.011076439529323565,-0.34342147371270243,0.3016360727472581,0.11440570446311756,0.18097005331397964
sanger_Unknown,0.06844039234163435,0.004955034089664327,-0.009163556617830255,-0.024953296965640866,-0.08064386603413952,0.10814151267513449,-0.031186906080601585,0.01325200029454417,-0.06524719293655261,0.03447865108012859,-0.055863667337246806,0.03503606300490276,-0.021287839264924523,-0.03966923875625529,-0.02325860285040963,-0.1169891016978264,0.040376033927578395,0.0776872281221816,-0.049829516317137224,-0.012238353144647435,-0.027595248222787316,-0.04372422060126838,-0.006672659608921349,0.048453740105733355,-0.02313020476080194,-0.00887726338602749,-0.02441051445285343,-0.13615917135828468,0.0842744383723277,0.03526574299786293,0.07227225793191579,-0.026153052313323193,-0.0058019596962160325,-0.03865628901311793,0.05600713367320945,-0.11516573086853615,-0.09457131132296304,0.06701959270105755,-0.0296199578640816,0.12632480827841217,0.04129952583435266,0.006375836473105199,-0.022554337674344706,0.05119513181255938,0.04536682896284328,0.003360878981313117,-0.01028598132064651,0.04778428908500932,-0.05549773456565141,-0.013593535841670402
broad_Adherent,0.13988728067237016,-0.15886019064630288,0.1392006873582404,-0.15339882285030257,0.15788697920837763,0.2668837482138546,0.13058060093311216,0.42855232593850606,-0.11348945888682853,0.05275675455378257,-0.33646327528827846,0.3149311841145671,0.12128974516303388,0.037607995674022184,0.34269097246592883,-0.3945720715405426,0.11674181227741308,0.16688568497389958,-0.16788167320365452,-0.10227641274279406,-0.40047160790235314,0.05803072962022306,-0.2533815531316736,0.05263472826559105,-0.07185022743438137,-0.4222812140071587,0.17393393329672988,-0.08423014436682712,0.3086470260892121,0.2774219924740045,-0.12230262830470744,-0.32776355200260193,-0.28250316260211605,0.21290296855980007,0.40231251536291585,-0.20096368606453635,-0.05132890388156863,0.09553779783499493,-0.07709857114076388,0.049067080920175525,0.051388464546875436,-0.3048295323510102,-0.09102858007141419,-0.2171878023651953,-0.01314616678514273,0.03988967306542703,0.31237058716796495,-0.29323440174918414,-0.0333627286789935,-0.15845123809081685
broad_Mixed,-0.032973088381158366,-0.023825462265037536,-0.03661279599298142,0.023264265404962618,0.05053586243296387,-0.14484162358817296,0.02024384836806078,-0.07773319039151601,0.035242387717362295,0.06201739956514753,0.06792099165290372,-0.06303450252488887,-0.05602640028366175,0.07533805605131938,-0.04547912230899417,0.09381717460304198,-0.04423861439458345,-0.008617127446119373,0.11997415717139759,0.08272258494392767,0.042026765112182375,-0.05696684644090772,-0.014607876587387195,-0.08290750045452741,-0.008728793375825477,-0.028898851027991224,0.006848197855705974,0.10781393940802185,-0.11516788436876958,-0.05506453405129523,-0.04468990884437594,-0.015914693058152806,-0.00776237678501495,-0.02008453872129557,-0.07322157112211554,0.1774016171320835,0.035760415001129274,-0.1102537325829756,-0.04618243549034158,-0.13249035912827029,-0.04160778687896981,0.018543143380305778,0.06522569842297132,-0.010610493342122097,-0.06285965421493026,-0.08497233837289019,0.026146327165578787,-0.07728101947958516,-0.04221649132568567,-0.00043587128784729895
