,Latent_1,Latent_2,Latent_3,Latent_4,Latent_5,Latent_6,Latent_7,Latent_8,Latent_9,Latent_10,Latent_11,Latent_12,Latent_13,Latent_14,Latent_15,Latent_16,Latent_17,Latent_18,Latent_19,Latent_20,Latent_21,Latent_22,Latent_23,Latent_24,Latent_25,Latent_26,Latent_27,Latent_28,Latent_29,Latent_30,Latent_31,Latent_32,Latent_33,Latent_34,Latent_35,Latent_36,Latent_37,Latent_38,Latent_39,Latent_40,Latent_41,Latent_42,Latent_43,Latent_44,Latent_45,Latent_46,Latent_47,Latent_48,Latent_49,Latent_50,Latent_51,Latent_52,Latent_53,Latent_54,Latent_55,Latent_56,Latent_57,Latent_58,Latent_59,Latent_60,Latent_61,Latent_62,Latent_63,Latent_64,Latent_65,Latent_66,Latent_67,Latent_68,Latent_69,Latent_70,Latent_71,Latent_72,Latent_73
CopyNumberAttenuation,-0.06518465664550427,-0.14872299563939234,-0.009714719608439795,0.3048486264411854,0.029468301097835367,0.08158152710343869,-0.030347227721835447,-0.08323562722302286,-0.07363175470645276,-0.0001453452342464849,-0.027508017236346265,0.15285299198604826,0.06835943369661154,0.14976607642357231,0.07071513087500904,0.13701338813441916,-0.013481424363714191,0.1850417414505106,-0.04008156707407645,-0.026200663123494665,-0.0864736768135884,0.09767767400763153,0.012504970006226586,0.14069688171823747,-0.13342796441274535,0.024303583298059667,-0.03841137116897262,0.1208540314451948,0.00547402548787828,-0.005995266092957131,-0.16815386112067443,-0.008796711254477367,0.0014929431433775217,-0.05887269592234999,0.06134040676721129,-0.04100287854777862,0.13554408968598067,0.07637403668548967,0.11695435110479668,0.20182121549960857,-0.1369311167970792,0.0034203283594512537,-0.08649116936910183,-0.07713920255835496,0.09812364955479616,0.07312384504396865,0.11471004235926166,-0.1318723530885436,-0.028461259519587355,-0.0669623175776715,-0.005562431208701599,-0.18784227589652563,0.225194365633505,0.17615156790250505,-0.094642470472274,0.055672304644299904,0.014512173683082821,-0.20837475752137002,0.040186837869643555,0.07673898310259161,-0.023958889036627424,-0.005002045459086009,-0.10075792644564135,-0.0899006666914797,-0.1307290825556827,-0.023373829532022446,0.04927163960708322,-0.075839806389977,0.02425081155860491,0.10628708913265095,0.08186856922315029,-0.007311810117848108,-0.06480796316710635
GeneExpressionCorrelation,-0.024235023394574843,0.035898393655827095,0.18566426641358202,-0.32082663637904074,-0.04359608944855253,-0.16758353909584733,-0.021444054334219517,0.09944761220642828,0.0043809462883368875,-0.07469079900415374,0.051218071090329095,-0.11352489209453447,-0.2765840786791406,-0.11870045177641592,0.09020806146191915,0.0028370651037178916,0.14348011779274567,-0.27182325552507164,-0.1238983159576369,0.10874577066425109,0.2905653066906965,0.00523554284116785,-0.1756339018452644,-0.09163673723056745,0.15693540413976292,0.0045592021394396665,0.0417543422003072,-0.24844818589381557,-0.059913679795867425,0.07157183187565405,0.09186617531105892,0.037931366085976005,-0.06643401039298291,-0.03672762069340368,0.10434439402508322,0.17152827543046742,-0.029915540659973816,-0.034500715434571894,-0.18544601273163783,-0.3228978431384739,0.08261816825798167,-0.022728118119186083,0.17506251030047237,0.17247723871904425,0.11836504364679382,-0.06928043773227276,0.08106960663936513,0.08568261890211216,0.19564836690078202,0.17650540261287484,0.01398235140165339,0.16573388540306966,-0.2836312296871184,-0.23392597333486864,-0.13105416202348488,9.369585860246991e-05,-0.018011386696873754,0.028137309656531828,0.023749218617711364,-0.0022462690572847693,0.1417263480416998,0.020556577200491113,0.044566246861726055,0.05153424350972666,0.11527033752617828,0.035869742904426266,-0.0573500611374262,-0.22380821981721855,0.11836381199206517,0.08431986798066188,-0.041540687541637714,0.06151281287207451,0.17746963471520966
CopyNumberInstability,-0.17524568478107064,-0.21824703199630957,0.028707932749796248,0.16269438131861277,0.10523333319782432,-0.018874492870866826,-0.14184294204860087,-0.0946021687677128,0.06601501464439774,-0.05194648492430336,-0.023900958414059245,0.07686363027338929,0.11606795832357647,0.2059918413664801,0.12962063132078033,0.102233352280715,0.06665756309030786,0.17226315189334454,0.0678381423535282,-0.06273293414519185,-0.0677872552011545,-0.08086741990767779,0.19465631819446563,0.05202132223553248,-0.10151854552314589,0.059201614134663655,-0.004200720839180671,0.1728687746737026,-0.05530621038769661,0.07018282306338426,-0.19138795239006828,0.07042476338458446,0.1446943498790914,-0.012872413643873619,-0.05155067618025421,-0.05824823606780958,-0.18888414984896257,-0.006103385431929682,-0.04381883656606257,0.3378496062013006,-0.2179256455189123,-0.11667908362977004,-0.07994057541403449,-0.08665127410841941,-0.04676195028168689,0.15358630663440762,0.09301764572505122,-0.17863838938497767,-0.005524210045022345,-0.274443808489664,0.07106864985682226,-0.17869620838192457,0.06973713567342493,0.3128404992140149,-0.061890659206497015,0.15545109309756,0.06776904063647209,-0.17358291567517414,0.03739471541430097,0.1137876129365404,-0.052161906299683966,0.10373290700375641,-0.07266120476582724,-0.1334315994741275,-0.151399238818214,-0.11092815148606103,-0.10546856623971196,-0.25716850901935195,0.1339681978296993,0.34000560469352137,0.1912257211593465,0.007900054694843157,0.06218824330963026
ploidy,-0.07710408715139629,-0.09058030866603359,0.02191197645206245,-0.010797960425697101,0.030151778541370022,-0.05650963403814542,-0.03591552634240993,-0.028986769161711282,-0.005242924488751098,-0.03797505532576475,0.016750504021848685,-0.03485192096709146,0.10471755248475609,0.056255563502605965,-0.011005269534112707,0.06571096864770434,-0.02930573293859647,0.04083544659486943,0.055092125430306046,-0.035491807368866465,-0.024907098354102326,-0.0817408698690252,0.11550603196202233,0.01725499404742432,-0.025463033577822366,0.1074366423722828,-0.025745926085658795,0.12960954919385598,-0.004281775039099777,-0.0021244664551525903,-0.027772607791882935,0.0506818303262326,0.10251793695986491,0.0073963445469634945,0.015500871165678732,-0.06384848796512711,-0.14404080613052755,-0.015429420114777081,-0.04816761447263463,0.08866580860117408,-0.08305375253867028,-0.10873929964667195,-0.010830716204622205,-0.05842027199364197,-0.017152071713778732,0.031332770343577204,-0.010865464162876471,-0.0709523453926867,-0.037827475060849734,-0.061624787242400926,0.08502466991506927,-0.06442652206295314,-0.013070592756349895,0.09968629216019569,0.004380830466072067,0.10348363360437247,-0.022788121142499337,-0.06582794307832328,0.014469516696430911,0.016241104665783445,-0.0074590233530529865,0.07340401177321348,-0.023999639507016193,-0.047366977519875106,-0.06285150342705903,-0.02547861691710934,-0.06003770334196951,-0.12520267361537338,0.050890635414360286,0.19511878588972156,0.029762565603685173,0.0021103088162058798,-0.006116076947047661
mutational_burden,0.08294729474142759,0.08673496604584315,0.05812719171898678,-0.12364358895940782,0.12386605647806359,0.029939925450523652,0.058877787047089174,-0.05306703393840691,0.039498233419436625,-0.0796109419794705,-0.1124318950459262,-0.04113782121333314,0.03694047926426365,-0.13526202494817996,-0.001988980937856779,-0.015540302128776374,-0.013187019400990646,0.028343706989313055,-0.05729059600862735,0.015923958589745157,0.17002098179100522,-0.05463324185855554,-0.12114951398528084,0.23297889322832496,-0.04077857304572816,-0.04912249410657535,0.09128311938614274,-0.037929494738221915,-0.09979873467206746,-0.012130081193827164,-0.014675212271805958,-0.018782531979609194,-0.1503569855009707,-0.05842438598917476,0.0016835986009224116,-0.0009980103137880454,0.06714773431160256,-0.08621753734430414,-0.06996935700538941,-0.0566611062048381,0.027481109078116538,0.14804940655717894,0.012887208550743856,-0.18268079810295668,-0.015961925575933306,-0.10357723263386318,0.006965645860113223,0.08314188568033597,-0.09391163180308251,-0.06366738759941133,0.09084656533943891,0.003926802306908413,0.02848227055917695,-0.14483578539138656,0.10963133175093322,0.052901329443658794,-0.08079817320707448,-0.04981094963846426,0.02672804510511018,0.05729710941418566,0.02545500446750176,0.041552870383729214,-0.04439622643156443,-0.017221519603155513,0.0739471718093953,-0.08822129892941957,0.17510291922467294,0.16389792657427218,0.02215664608962677,-0.0652601488913301,0.01619444066601133,0.0037572334577635163,0.09028073101746861
growth,0.16535550319685896,-0.058635597397575186,0.04430436769841074,-0.09663043764019336,-0.05410115050357163,0.04109442383943556,0.1821496824509183,0.14514097321045863,-0.167429612794484,-0.0024974750437681765,-0.010769438038861262,0.026063942135224137,-0.10078149279932809,-0.20919759206756217,-0.15201789690669157,-0.179573670771286,-0.0185977776354474,-0.020707490043122185,-0.20058995741100025,0.04161070875582675,0.27443129510083086,-0.023498915408689973,-0.09059577835443888,0.15174009267187288,0.06460940600726339,0.22068865046199082,0.08875089256226983,-0.06564362316868551,0.07481601374330032,-0.04873680658837509,0.08045878123976098,-0.16925125159839657,-0.17796357668298074,-0.11337158875827258,0.28386457639553103,-0.03737241499480506,0.10634511426266256,0.08632920402206179,0.11079819549620747,-0.2598207472437398,0.1010270484058075,0.04384526922768904,0.05317207114437893,0.07307342990414663,0.1016473874615441,0.04892883892221156,-0.0038657720972595524,-0.1960364757315579,0.22491932229030306,0.15747376086294568,-0.0034638005312562837,0.06517040439921537,-0.12869694899320402,-0.21173637850399402,-0.06679408203737942,0.016083193564092314,-0.06968030575583291,0.03224607843705191,-0.05495971259040765,-0.09836653801813171,0.09031922616726576,0.2542887213475779,0.06524817942698939,0.06291335789074111,-0.018428581397106524,-0.12619074662202637,0.002282199360232213,-0.0964511536709762,-0.11640063023436256,-0.03953497189849854,-0.13318437191754484,0.2657160415856966,0.04508788337816386
size,-0.10717455147923895,-0.1999665960459224,-0.1044499158804474,0.03679923163815945,0.09348152329710287,0.00906237680533445,-0.1042931516852332,-0.03625112092120652,0.013675846533442032,-0.07415667552342593,-0.025987262814811497,0.05117817785885922,0.06498887202975247,0.05659652403404987,0.18720249068386677,0.15038411504950058,0.10376251920472825,0.14940278212092872,0.18436354362110213,-0.15277425900824926,-0.06640364929951226,-0.16680875828251118,0.07669194213153066,0.01450415562632021,0.06993120956336422,0.12092892283471893,-0.13809238006825708,0.1064570699313038,0.0464796667995085,0.023803372740805656,0.03917524819190554,0.054972669251670846,0.11354263235267342,-0.1088785618180236,-0.07251880728283631,-0.10383755921219005,-0.15791084778142475,0.09424417460109451,-0.09455546026005288,0.21073140227991466,-0.27887090623251776,-0.13645132357897016,0.07551297154854082,0.043286886607916124,0.015340761668828976,0.015884643925519935,-0.05117231850448146,-0.067843668273803,0.09765627651997862,-0.19678209054924028,0.12266426544266539,-0.20235375130769936,0.05848044222595979,0.17148873490441496,-0.09069787156383864,0.2358126646703473,-0.07843357043392739,-0.09209696540453768,-0.045188576705543174,-0.041944516807978775,0.18070405183977503,0.1059279880565306,0.12557021146161093,-0.17017550936482545,-0.13029077771709563,0.0466090858615418,-0.28460834887354014,-0.19595188349052683,0.14092735641523352,0.10715541098141754,0.2677188980787902,-0.036194583148300846,0.022386273792002673
RepsCorrelation,0.08123317764378966,0.012540531817440848,0.07293250949453718,-0.23788376884021772,-0.03251228164355327,-0.002415264902585361,-0.09300595288576122,0.05503268040893736,-0.02157689166505798,0.031967012376030314,-0.06603414604857319,-0.021776399449962795,-0.1995751889573745,-0.09615603740256849,-0.046077347164185344,-0.11145537373593364,-0.009393534665582647,0.06484586724507777,-0.16823311957607032,0.08938029672906464,0.05377266514453096,-0.0010892656631919205,-0.02515683024358874,-0.06887080170126098,0.10353499161788819,-0.08205894517383581,0.1124234596968976,-0.05838450724240231,-0.21340667835111415,0.16324539440357533,0.036603400556385654,0.008458590383210179,0.073407288171651,0.059782620634957026,-0.008539649510985304,0.16129554152609415,-0.11768445992818982,0.006589079181439302,-0.1587869320974052,-0.1008039994708094,0.16597728416733676,-0.022005877714564318,2.1083234535937412e-05,-0.12526745650878973,-0.03076616432248716,0.10153754486629869,-0.025505679067075276,-0.017150334298130968,-0.04175567415060317,0.1494190002076724,-0.05000803478745837,0.17436781283101432,-0.22690380059268264,-0.057269789922078165,0.07142970382883028,-0.0365383119577771,0.050065570138449256,0.03669280719422413,0.056265060782996756,0.10004456246781843,-0.06389722341964676,-0.11331935806315505,-0.10718793162639395,-0.00018185338696826737,0.1518148040343822,-0.10846873724022192,0.007746520462442802,0.06331048914577234,-0.08572510633725508,0.000776154015518199,-0.052046829603014676,0.09475467029208501,0.11564423179874093
CDH1_prot,0.03225250565310607,-0.24264702916785283,0.20527198887638518,-0.02156420361630716,-0.08509394191565164,0.1386531847160498,0.05537393332969794,0.015915567022017844,-0.22029479470856164,-0.09046115295028385,0.0397295679706817,-0.10440289672465718,0.23604495896666272,0.03326661944307857,-0.0614467701288395,0.30559374279351215,-0.13905485789282543,-0.05903537278190537,0.29827953569327964,0.15437892170941261,0.07684479097224468,-0.038299120335648265,-0.1837746901862994,0.2690224476931544,0.15166733338326654,0.23520406308954891,0.014750906711241457,0.03842674266285221,0.014276690142385017,0.13023414061465574,-0.07901578902306464,-0.04316998324324571,-0.021009589470916423,-0.2847428951199401,0.21807037910480137,-0.35919932533168836,0.07997696746948141,-0.012076373558172418,0.09741630461279191,-0.1507248336945521,-0.20971320449958517,0.17764811751744822,0.06859148484022154,-0.028986402018457057,-0.14910563394334508,-0.12592827646548305,-0.0643056683562992,0.00932165647053772,-0.07594844131478495,-0.1824544378639734,0.27906240394320103,-0.17534568164138728,0.2663794460730928,0.10561258711412609,0.12324042085281432,0.2460555718574454,-0.08877528027555698,-0.3114549882710729,0.08512893214144147,0.08399427615356421,0.059857754183082895,0.24752138277917266,-0.026810363602083886,0.09418584711427269,0.041806703861126726,0.05010875263350936,-0.08757567513179422,-0.03469117854763445,-0.11052103369175133,0.0940042879810156,0.10047060116067173,0.11801306556981137,-0.11277573689569728
VIM_prot,-0.05115724757318948,-0.018641354144461542,-0.3719694494651429,-0.12359900338691544,-0.0035453136170581897,-0.15823962290719523,0.05223379047046503,0.08359600529716427,0.007633742339947211,-0.09079504017775837,0.06231488726645653,0.08400449943194896,-0.2007933956876874,-0.1505038716007121,0.09849137677899308,-0.05334413087361003,0.31236060525048553,-0.029789409343891255,0.0922611252640191,-0.17619004915232186,-0.07828043255316838,-0.1406995781842932,0.023768736253437017,-0.33460086828025976,0.2091717851627499,0.11779333658730738,-0.26758061020003315,0.020291282118936178,0.19299356955018146,-0.04390093705945824,0.2592166121751303,0.040898607048342354,0.025008839099324057,-0.0957382696609618,-0.0029295738453632464,0.09191689601087219,-0.07633072273731935,0.1650133789882378,-0.08771354256664105,0.049893152557735874,0.022606638297636296,-0.22203133709050119,0.07855049718606293,0.20568261450069034,0.21459712637293651,-0.21285260224039976,-0.12066498072713332,0.13046792394892703,0.28283246625640174,0.17276089074856027,-0.027313942269673708,-0.11769322310246536,-0.29368343116521883,-0.18937354394604347,-0.18342041148907254,0.07628504912479912,-0.11810353219919961,0.09572123726998359,0.0090405284037538,-0.30872734821780257,0.3577207199628985,0.050176177670521606,0.226681281069857,-0.16122872584928952,-0.12217220610466446,0.01745187166506627,-0.24910229425469718,-0.1108903092138291,0.21241879477318068,-0.07694729370543135,0.05178929563825846,0.02400275934649411,-0.08499474472876467
