,Latent_1,Latent_2,Latent_3,Latent_4,Latent_5,Latent_6,Latent_7,Latent_8,Latent_9,Latent_10,Latent_11,Latent_12,Latent_13,Latent_14,Latent_15,Latent_16,Latent_17,Latent_18,Latent_19,Latent_20,Latent_21,Latent_22,Latent_23,Latent_24,Latent_25,Latent_26,Latent_27,Latent_28,Latent_29,Latent_30,Latent_31,Latent_32,Latent_33,Latent_34,Latent_35,Latent_36,Latent_37,Latent_38,Latent_39,Latent_40,Latent_41,Latent_42,Latent_43,Latent_44,Latent_45,Latent_46,Latent_47,Latent_48,Latent_49,Latent_50,Latent_51,Latent_52,Latent_53,Latent_54,Latent_55,Latent_56,Latent_57,Latent_58,Latent_59,Latent_60,Latent_61,Latent_62,Latent_63,Latent_64,Latent_65,Latent_66,Latent_67,Latent_68,Latent_69,Latent_70,Latent_71,Latent_72,Latent_73,Latent_74,Latent_75,Latent_76,Latent_77,Latent_78,Latent_79,Latent_80,Latent_81,Latent_82,Latent_83,Latent_84,Latent_85,Latent_86,Latent_87,Latent_88,Latent_89,Latent_90,Latent_91,Latent_92
CopyNumberAttenuation,0.08832840373095768,0.13547142994495368,-0.08145775971146361,0.0737609829664302,0.048045711039709095,0.07521173247033756,-0.0415953023914442,-0.05126975123480594,0.06862229711339145,-0.036951853079347646,0.008008120224063634,0.02035302684943328,-0.04514589505735228,-0.08018150439939835,0.030632707473981707,-0.0827471514662578,0.018870950363728763,0.045669948069101934,-0.12773021652735211,0.09747926118870373,0.06400077189592936,0.08553102499815855,-0.06202694115351034,0.15829062885851924,-0.11043084450664913,0.08998833718681722,0.005764904566004511,0.055372703363496964,0.13045248783371505,0.04146264780618425,-0.04847125174491955,-0.024667797748649703,-0.019175435442804648,0.06481704015517406,0.15013740559424177,-0.050595959550761606,-0.0400281159846823,-0.006183297665477288,0.026091160542998405,0.04372384871291892,0.06440797406300226,0.020429811422465215,0.06529760229606672,-0.08242126998899392,-0.04493738422525278,0.20449908834629904,0.07330040034480369,0.0828810918838856,0.0815050208584562,0.015287732877799281,-0.14636390919263315,0.0203170040955082,-0.06143297349704077,-0.18619104145160484,0.05430114025262529,-0.003383786800382071,-0.0670854436396507,-0.22152512901301746,0.06305563422573805,-0.058928856797777006,-0.15295329653407516,0.1652877231214617,0.15819070735179971,-0.050218306605450326,-0.05476112136240379,0.12515589052869547,0.0850557906851439,0.04838803311739178,-0.05187466941040831,-0.17852540635689018,0.04293240720353417,0.07974271284682462,-0.03055908397048524,0.06674636645994515,0.058890660774065816,0.08445664541777832,0.030404875465264537,0.05347270660098214,0.08340257902780131,-0.1160510283767043,0.07116790674335173,-0.13384888163094827,0.028940251503046056,-0.34617471810951517,-0.1188395920662525,0.017489227048868024,-0.04930453914855806,-0.05722348204025713,-0.12371594057713793,-0.04337214662110142,0.1902775443003337,0.10696701786645055
GeneExpressionCorrelation,0.023501539437645796,-0.14535185980415297,0.0725631992281354,-0.22314775825330962,-0.10121672444101809,0.11325975733270835,0.0842276479093859,0.007471659412885827,-0.15443012291516547,0.0873686946894249,-0.09605732994218504,0.1440644623001544,0.05111845171706054,0.23228533385516828,0.038390935536384396,-0.11153312831671248,-0.21814546787781958,0.029390650738636524,0.17403882907757065,-0.15186545585280323,-0.07344586275096586,-0.06404372860033081,0.09571759997265449,-0.1216875666465974,0.048117344805130795,-0.17853199093957806,-0.01397844547981952,-0.08569576908938424,-0.1391088660576183,-0.10941956854454196,0.2585770044471775,0.011328672569911857,-0.024411789776819116,-0.11764252005101487,-0.09903399784638461,0.2541605899867877,-0.09594464329082004,-0.016215696193268625,0.16779913975323224,-0.09120232535986218,-0.19314013729681226,0.04559755904356527,-0.04801004839315139,0.194251632412245,0.022891348551194898,-0.2140358308235552,-0.07823117087623618,-0.13169216547406937,-0.17364035740710398,0.012741008442356757,0.29595483957092283,0.16801210543004017,0.26137341491398297,0.07241380101573867,-0.04674669881212582,-0.10758839776039333,0.18743404089469487,0.1275633500428849,-0.13329941012737845,0.12631126453506344,0.22588008177161556,-0.17875243675280333,0.010172860342549626,0.2276165627742609,-0.05082506336708648,-0.11465861479773355,0.044102037259583525,0.03375611524774564,-0.09631801998125057,0.09533539726409958,-0.04901032232869785,-0.012766850162014762,-0.06710558577820633,-0.05265268614365273,0.061854165068052504,-0.13181511121507475,0.05750135199864819,0.05300866450278552,-0.25618563776108955,0.07300830474595452,-0.026743015196115556,0.21606152514157392,-0.23520159588930145,0.12845002724498772,0.0020295765341431377,-0.08667179087251299,-0.13693071593475362,-0.11249131915853941,-0.11652122752071482,0.06521775559216388,-0.20399582748122075,0.016505254400585454
CopyNumberInstability,0.035657902285823585,0.15845323569236902,-0.21509578036572083,0.2155256765057983,0.02755603847144918,0.058970508189980585,0.015940666755110224,-0.12478179942357424,-0.14635798039680353,-0.21954975722665063,0.04252062387703191,0.1395514728038777,-0.05312678840645328,-0.04470236477146973,-0.06437497283230043,-0.24580021468425836,0.13066623580906228,0.15128216964065966,0.04496874056531567,0.06586463049436621,-0.0805562533546381,-0.006551131075840651,-0.09788356213007567,0.1060503227153696,-0.1894521130577088,0.027406889720240604,-0.036163317552844625,-0.06108799017267133,0.14837315731371728,0.21600322325282315,-0.1323958937104828,-0.1712596017167957,-0.06548298204382556,0.07653496804046726,0.16641513199874602,-0.006754394916876035,-0.01845200382506495,0.046302963700305386,0.04896379528082716,0.0193045655360926,-0.04047032848566456,-0.046022406402627725,0.18714845032371089,0.04050893332617536,0.08596990389689585,0.12235070324730547,0.23330136142420344,0.10979316070513495,-0.08876635497894513,0.035006606602150325,-0.2584064955596385,-0.041726230527868995,-0.07857524622666516,-0.13111931577440739,0.02658798981107518,0.010379216414162213,-0.07853533357192301,-0.1926047786209094,0.10783642521545403,-0.2079387929700722,-0.13874865897965247,0.37959327418433825,0.21682758411465677,-0.11974062878067038,-0.13701571809413193,0.059284229238294066,0.10682424272477044,0.02278780728421842,-0.09098388360071905,-0.19344964926420274,-0.07131851052750968,0.11420119835499229,-0.21258864464254584,0.030564834750887965,-0.22616113469114618,0.0033609345220712546,0.0013338270064169179,0.005907657021253075,0.14344073550045647,-0.052153862653982745,-0.0462825360539647,-0.07294939756717343,-0.0824846569177325,-0.21205222435059826,-0.3075047595232696,0.13643197876433416,-0.029478982867771817,0.004631327928045398,-0.07170766431222551,-0.15078898339199429,0.1603413442176086,0.010674292370879983
ploidy,0.027684529101711017,0.12226441067601126,-0.10408541354821586,0.0553499165672766,0.05576877665416682,0.027667427240896224,-0.011481765889001298,-0.11721511498648272,-0.09348597319825237,-0.10723695232450392,0.034031487143818,0.05309799208036538,0.005182074314290182,0.03492153280794113,-0.029428218122481177,-0.054265120214203745,0.042763088928740624,-0.008868913271950258,0.06654330202678585,0.04064538606643296,-0.10008194330403138,-0.03246521772360439,-0.015556397853067156,0.07844609884469098,-0.0970262326581333,-0.009557167670826015,0.01984155297860644,-0.07237547985340034,0.01495646004604193,0.08292451382590095,-0.08577639227750745,-0.13103421280192162,-0.02718754125048228,0.059123990669134666,0.04053671611125229,-0.01532806179304944,0.08667359504761121,-0.0033516591821787867,0.019601565999644386,0.0002625419769070464,-0.042304127499774,-0.015354273072039584,0.03767633304747071,0.06598362948654597,0.01074649461757045,-0.008704322325808284,0.12728055766440777,0.019791822858938993,-0.05938807492305013,0.007201977238575782,-0.10901560625184488,0.00825985447972481,-0.02372054009749818,0.01634177970462197,0.007183964769467777,-0.06084811025168437,-0.011120500159050303,-0.04277916570256115,0.06795912193566404,-0.01479880489780106,-0.007874410623549061,0.1627780868839765,0.09597319798714928,-0.0947876593010432,-0.05537602625607808,0.06187011566159686,0.004340821649400003,-0.013579928443439382,-0.04529601242425264,-0.0448223903456908,-0.06024397191372357,0.07534149771220044,-0.11395645675397294,0.03284622664758908,-0.10297894329375698,0.01761674215887586,-0.015387558539881043,-0.04880466081187084,0.08609743929881562,0.012734008509287376,-0.0456303583419718,-0.05453048701382552,-0.041448019307167426,-0.017948226135116426,-0.13864046839397026,0.09497400461333848,0.03865596471311874,0.016123183469544364,-0.018308238078342857,-0.057466512289385256,0.05273562192285264,-0.0062196383461875435
mutational_burden,0.09095353271020566,-0.11047845392660405,0.023508596610709972,-0.03837365463089241,0.1878392518292208,-0.02986760973169092,-0.047311027294926,0.0219493049128837,-0.04085834945352328,0.06456281094599428,-0.15522831900000228,-0.03468786340571529,0.07587592488858272,-0.0445967130600567,-0.055490225089547256,0.058043520412911026,-0.04422764328166586,-0.04842523804676096,-0.05298898203413374,-0.03609416298233626,0.17589483881080667,-0.005077950303169219,0.10450337399187262,-0.018436212922271378,0.14114212691139918,-0.07083319435624415,-0.041151609131600944,-0.0014159660553690445,-0.06752778989339153,-0.2197993376134909,0.07065998127819002,-0.11897988655526685,-0.08311750560397256,-0.07482804542496743,-0.11432367552306297,-0.016300607325481508,0.11509759276275934,-0.09683451142813963,-0.12328817850325254,-0.01847519517886181,0.026877909365986524,-0.0862819037454717,0.0085723960443279,0.02007814398612355,0.12972886510005607,-0.06795088585065373,-0.15097606942063027,-0.003996361441703805,0.06820221493280884,0.09461796078431348,0.10342913140087974,0.09101147029879256,-0.0639233667577685,-0.11176150754024301,-0.01994930236989477,0.06823764391481328,0.011421816150863528,0.009668063714016519,0.006731244960395622,-0.0570615515594401,-0.008537911304964889,-0.07839646157367408,0.06761273856309429,-0.06405251607196039,0.072701585346833,-0.16185868745348822,-0.07013796923255648,0.12035001985390423,0.05601970189809858,0.02026970465743174,0.07092894673171599,0.12310275441909801,-0.032754021705990295,-0.024411229494193488,-0.035658811390646875,0.07346057630772437,-0.10700582883341836,0.01559610147279164,-0.06175808476828933,0.07342072638680666,-0.1155112602404928,0.08000759069743167,0.060815577004831776,-0.012665864755778976,0.052450002468763905,-0.032785209992649667,-0.07845129931195707,-0.06549519434966897,0.051287389131567496,0.053343654962765455,0.0892291533531856,0.054402187181234095
growth,0.025172836296831844,0.1079327414936424,-0.044078200066966056,-0.1924467570661971,0.07860789612016553,0.1713086013653121,0.09194186402348975,-0.08605754325652805,0.11337368343326576,0.09493957231488499,-0.17066452889700645,-0.009184139994486204,0.03950994500996832,-0.017666201210117277,-0.10391200699485059,0.1179665475844897,-0.17914025917479592,-0.08228149274691113,0.03654085465501582,-0.2722189013909042,0.09172339096334724,-0.029894968082747525,0.08056269402543952,0.09669413533487972,-0.03628537739449756,-0.16049246613123536,0.03629449918645936,-0.17428781591322262,0.04771409369517347,-0.12317993105138655,0.214156579058238,0.0074324866635832355,0.0452779509242483,0.003977028760587636,-0.14217357456214186,-0.10873161561897957,0.07153952007580215,0.10575126190445981,0.0879941710731264,0.07261668238915102,-0.018542544593644496,0.14675719654255884,0.04217449602591055,0.12198951251487844,-0.13578309469863958,-0.09727915074706431,-0.1436163922129958,0.02388759444550884,0.0163843061078775,-0.15666952333861947,0.12675485884322663,0.20691738311463517,0.07209906884950198,-0.006841852522495014,0.053588083424422756,-0.01819221896911276,0.09834933042560126,0.2994116371964661,-0.03702879645515291,0.05657212781682982,0.18405594075559173,-0.13861883049008838,-0.027732753436180976,-0.030556836059829208,-0.013723179406291613,0.06320936036539923,-0.09423950183966905,0.10994135114847345,-0.07523131983224433,0.12621685268156374,-0.04775504716325352,0.1946312848719111,0.19615501076998065,-0.0030715572989026456,0.250185464291678,-0.032089559414371,0.12770933535857817,0.18532281545429322,-0.2090317560426521,0.1679182479127696,-0.05831697608241054,-0.028537772024750396,-0.31425695625165195,-0.09574711975356541,0.22622289574366805,-0.10775040309519632,-0.028950574651387163,-0.06149418638569311,-0.003670694610639825,0.1670632226602086,-0.13463061234605456,0.07563570715296856
size,0.07666202419375605,0.14638932517027903,0.0011010198408846457,0.1045912827099673,0.02631640195215521,-0.06273517760308595,-0.07522186189853389,-0.27396244669391134,-0.18222658749911583,-0.16006174889955258,-0.026485642661341395,0.16663332337591838,-0.06019771893586877,-0.1334737112669236,-0.09524749774252991,0.02144784201269804,0.2542354037809206,0.034521861702703875,0.10536222114206066,0.07026914330523647,-0.10631059073928883,-0.04391423787226932,-0.07304740327749476,0.17078497363797412,0.011756988870051447,0.11624609132226067,0.17748117355165027,-0.03763291866248164,0.09660733863112263,0.18773183194236817,-0.11463290478791852,0.006559179368953011,-0.20423663097381303,0.054135825980267685,0.19049733498467816,0.15224695927967316,-0.002246023915697735,-0.04514642949183504,0.12934244917160295,0.04540353397627203,0.017217669643474046,0.07359393766391542,0.09842484430089163,-0.014894505448841095,0.017934726511420224,0.05799138481780594,0.19846344725914616,0.04888035231029321,-0.14141223606689993,0.0619823370407604,-0.24182556685262457,0.01555905973004712,0.10974611783012442,-0.03274845427010656,0.003931090061675568,-0.07634210517788442,0.02722649311559746,-0.14796817602318982,0.05737287861370444,-0.1257132342748663,0.024984638284275273,0.28882736947684423,0.1064722932469418,-0.21450452163177575,-0.282953905094222,-0.041457996517110594,-0.05868083608186092,-0.041103830510893585,-0.08909208561008927,-0.15399473129633673,-0.20344081158171712,-0.11351705912182944,-0.1318099727092728,0.03685302206086929,-0.020746119675236995,-0.06325465002464767,-0.057995343458760173,0.0789732005134622,0.06259075377258247,0.05289324692079,-0.08192378161999739,-0.004081612694985468,-0.20338544942264164,-0.12888081107135915,-0.27284401121364804,0.06290450741917848,-0.0819275222040557,0.07378389184714008,-0.029267679010909067,-0.15962320048624395,0.07502704999301962,0.08504733199066766
RepsCorrelation,0.07964177367505715,-0.0874152770567888,0.08219525521707384,-0.009364237513855402,0.037404272833381325,0.1059645696217013,0.03630817404916885,0.11205615629646065,-0.06354782029881471,0.06435834151498766,0.046487841117085406,-0.03653181944469698,0.013935168391854795,0.11028320251506284,-0.012500996286933042,-0.0040275228652643675,-0.18031761654479483,0.049105247201424305,-0.06674447466384441,-0.08124016292753534,0.05133511772792062,0.06689906872040273,-0.07371640366849502,-0.24881145021962744,-0.09405901642715712,-0.19958509231702612,-0.18168496177819413,-0.10550820322773632,-0.19726659923112513,0.03183235130689598,0.0053472632614505865,-0.022202424590065845,0.0365711665029295,-0.009752588523162594,-0.1776510256610878,0.01958902984777661,-0.0167325719695543,0.11757970195049572,-0.08122118200987374,-0.0027563157499616315,-0.020849784279090396,-0.07762954453356027,0.03377883396232174,0.20771801302810172,0.07220652161754114,0.01738613834447346,0.039771334538573684,-0.13647765730150735,0.025405315189582185,0.03857407477823941,0.06603261973096973,-0.05623395893199748,-0.08278381730916706,-0.05013191701451542,-0.04117926080343449,-0.0652921177633943,0.07063482723983489,0.17485241734789894,-0.12114549689176328,-0.021195795986050897,0.13037171204562586,-0.09276328708642774,0.017478280843789832,0.0892345302836757,0.1263300602582988,-0.20271475768518327,0.15703012603618974,0.01686859573300016,0.0651802433497373,0.04361882877690088,-0.02204140832467795,0.027309767140986544,0.07904044545436072,-0.11808861976211504,-0.04738411446969309,-0.0050669113709554915,0.08302273205784073,-0.02365803789856102,-0.024408556251196117,-0.014975643030146287,0.014846171479691273,0.07590685136480022,-0.0937871531442075,0.1477579000210412,-0.019662633713267857,-0.03231546244986165,-0.07646786057934357,0.019638826988938686,0.0953600799214763,0.05981792356073614,-0.07316103433064089,-0.1155341761064652
CDH1_prot,0.03594415033973046,0.0861459229116328,-0.25123022371370585,0.12473823997525237,0.17688976356483893,0.003986094919454723,-0.09268921834570093,-0.24882546258763127,-0.13237961074200646,-0.11411673882867626,-0.21575923671145802,0.11413700490256508,0.15329399161553384,-0.047517436312083584,-0.208626806245541,0.10230806371106264,0.08133273881378073,-0.23839408273308915,-0.032561511021175917,0.17844194401489238,0.1904409893274101,-0.08793660506958728,-0.04659630145830173,0.20583480778443472,0.09265750560646953,0.04151925671755627,0.2169186714829034,-0.12235105049782986,0.30388224727924407,0.04527991260012089,0.14635409542514155,-0.333149392582248,-0.11219072999880204,0.05389564712241169,-0.05200217029477087,-0.05747648881425274,0.05040772650958741,0.00284579658734422,0.10473304160642731,-0.3294779688250188,0.27930066055729347,0.036186830910856914,-0.01729119275837267,0.05824907421493997,-0.16213830241880964,0.026547437981489928,0.02740531149905889,-0.04902039367293171,-0.07135641364061777,-0.01979122961088474,0.133383958640292,0.20592966896799278,0.13105812482360893,-0.06303133582450929,-0.002902029953384733,-0.1954888458047857,0.11668906876616801,-0.024044845322928485,-0.04811013092382108,0.2582743369308709,0.05102896945768206,0.060808699856076946,0.05946223304644368,-0.2062653366153295,-0.2244031815612072,0.15718978566742167,0.029790931063896367,0.2504661030096624,-0.21115612358194324,-0.11826283119141558,-0.20097677158054103,0.226861191130273,-0.013748998943765163,0.19358056049115646,0.16164836125940565,0.22112184539938623,-0.08619870686771239,-0.12040448888839882,0.005077123163650406,0.0859580707916331,-0.2494898904591906,0.00683458693963845,0.07912767932190166,-0.2471761044445375,0.005835250558550542,0.10419708231448516,-0.010028489241973599,-0.12140939696604217,0.17746288999119508,0.08405671712153275,0.3235560752644518,0.3388276296577496
VIM_prot,0.13669766378324574,0.15937139291507046,0.2761967806632498,-0.09828915145394539,-0.06249856121912389,-0.13731481959107839,-0.06604256887054226,-0.2096730554488544,-0.10158340277428907,0.09011322339344859,-0.01849119126263222,0.1127966804238039,-0.07691782256822441,-0.03139731458822326,0.15400075142169165,0.27780401405314803,0.09995886106163156,-0.01954818683349015,0.2760462423771406,-0.092812394357498,-0.23492899030613512,-0.07145773257165369,0.10750214207166599,0.1583263111158749,-0.10629884934450032,-0.027435044297664777,0.3289542022021275,-0.010136812971496888,-0.15390354894865624,0.06781658521858708,-0.11826768467883761,0.29849751903710037,-0.11514921077508786,-0.012571061233293447,0.2515711196520762,0.27815760107874277,-0.08353631124551746,-0.04249884318299451,0.06849857043593659,0.16078451229730617,-0.12421800073544166,0.12294704967157483,0.0672085922706983,-0.050496364035817684,-0.10484522909511103,-0.19936887306578974,0.015395113152941694,-0.10705226183935952,-0.2056828435073743,-0.035444878329486174,-0.08168529159334535,0.07959293718799725,0.2996074329132155,0.07681776354863583,-0.131062142491644,-0.09004144513713298,-0.04417633448376046,-0.03150374912950733,-0.004226044521297209,-0.0020383271920480285,0.22950589625742332,0.08098182499612482,-0.270203191699222,0.04929155508996793,-0.15649476151225294,-0.13364414963538027,-0.19092042392415934,-0.1611766579189259,0.06994658716830038,0.09380809231182581,-0.2513920803082492,-0.30392319540803525,0.05784314629334577,0.012922974403722755,0.19708089983644303,-0.2194697034438698,0.0007060809133138873,0.1303952060826801,-0.06053993930188275,0.0662422010111143,-0.02133642982275474,0.012154855505244954,-0.32049974881712373,0.0926338468627579,0.003945687365599021,-0.13464621290236217,0.002014087075343041,-0.004404401929151283,-0.18719530376178015,-0.2687835796736535,-0.3535780999983368,-0.09722141028682109
