,Latent_1,Latent_2,Latent_3,Latent_4,Latent_5,Latent_6,Latent_7,Latent_8,Latent_9,Latent_10,Latent_11,Latent_12,Latent_13,Latent_14,Latent_15,Latent_16,Latent_17,Latent_18,Latent_19,Latent_20,Latent_21,Latent_22,Latent_23,Latent_24,Latent_25,Latent_26,Latent_27,Latent_28,Latent_29,Latent_30,Latent_31,Latent_32,Latent_33,Latent_34,Latent_35,Latent_36,Latent_37,Latent_38,Latent_39,Latent_40,Latent_41,Latent_42,Latent_43,Latent_44,Latent_45,Latent_46,Latent_47,Latent_48,Latent_49,Latent_50,Latent_51,Latent_52,Latent_53,Latent_54,Latent_55,Latent_56,Latent_57,Latent_58,Latent_59,Latent_60,Latent_61,Latent_62,Latent_63,Latent_64,Latent_65,Latent_66,Latent_67,Latent_68,Latent_69,Latent_70,Latent_71,Latent_72,Latent_73,Latent_74,Latent_75,Latent_76,Latent_77,Latent_78,Latent_79,Latent_80,Latent_81,Latent_82,Latent_83,Latent_84,Latent_85,Latent_86,Latent_87,Latent_88,Latent_89,Latent_90,Latent_91,Latent_92,Latent_93,Latent_94,Latent_95,Latent_96,Latent_97,Latent_98,Latent_99,Latent_100
CopyNumberAttenuation,-0.01842377014343046,-0.04199483578026074,0.029785003921705806,-0.06757086077748949,-0.09218392687448226,0.09013798015744535,-0.023832097071357288,-0.10957113856108576,-0.026637482607260236,-0.062409574229421574,0.20188223153059606,0.19938917614907947,0.12845304238671054,-0.09029073644882799,-0.00260514181902084,-0.07217333682962024,0.007486863779438715,0.017812590090301568,-0.1118369411054078,0.08492263317523609,-0.039938523740182585,0.11878084385232913,0.10782423723239981,-0.04318139141091286,-0.08750267987628157,-0.016722912545390094,-0.0010429169163953646,-0.15367647404720294,0.08816253716811949,-0.053045554840490096,-0.1153967568492931,0.011988413251293368,0.008929097551675765,0.09884298513284552,-0.15258946036675677,-0.055495808829215065,0.09719566728450223,-0.1382174746223646,0.02842553655311363,0.009248623214188267,0.13246914814186575,0.1736995588605821,-0.0015578586826388433,0.24638274504744204,0.09778824194056583,0.04741340609407404,-0.20750496521471903,0.0697490111021801,0.04854123300483664,0.10192113757341989,-0.08027043678931674,0.06477971003114792,0.050803105478720266,0.153626727129023,0.10794903371364176,0.10034171042826774,0.07986195609606646,-0.004152737121185737,-0.18715386626045277,-0.00814362606347197,-0.021388478685971928,0.10584439850679907,0.15161019230831352,0.24789072904898982,0.09740209218683069,0.035828793630262416,0.007371933664197688,-0.09277956250625323,0.037591733379988244,0.12501132245733512,-0.13021344352858272,-0.007027022589669874,0.06802482040684432,-0.0514437531218533,-0.057553106529324986,0.03667860191290095,0.13277368613090768,-0.193095119490833,0.004757672154272022,0.02146589432852889,-0.017389993348371952,-0.3413041676081993,-0.11246207965234355,0.016295948399751438,-0.1606943241549737,0.011212555083323257,0.07907190524900332,-0.12563753977050307,-0.0360072624628531,0.10086341655252914,0.15481253544711798,0.013558309993765555,-0.10577672766963064,-0.00879232574031489,0.017720875171953546,-0.026332088692234835,0.0023821520783371022,0.1770628453921728,0.09220938776513922,0.12128960653125956
GeneExpressionCorrelation,-0.3179359964614077,-0.1512812980308887,-0.20132556509604457,0.08710632268322126,0.13781980204191133,-0.23162379155132196,0.01921790503804467,0.06038406519358091,0.11931776260186637,0.2129884331469916,-0.1469718710026126,-0.08850448685949347,-0.06820021729256867,-0.011661732621246007,-0.13586760815159502,-0.096806016532463,0.09499442702276738,-0.03177996472110518,0.027942115418384473,-0.17399085351490995,0.12633703042429117,-0.16802394445638663,-0.08355957244195823,-0.012581564485008662,0.09788721467557447,0.12325109454950166,0.11716929083146428,-0.14821838728537026,-0.09663904974736419,0.04762256380639156,0.08858036257538501,-0.1312671302722257,0.2603602345297332,-0.08214528754255339,0.14643841422306084,0.009732237465103067,-0.09526195825204896,0.3566375093021426,0.0889791097858948,0.01501688598564024,-0.1081900170918534,-0.15105945036363108,-0.18879628347657515,-0.19081139283505316,-0.2719525422990721,-0.2045318736698714,0.16138313749909375,0.09482218684568865,-0.09779395411200222,-0.07884574264997887,0.07612114696523639,-0.2202066480503896,-0.022019163209267438,-0.12398301516576553,0.015447514431957965,-0.04512250414229586,-0.10466343021412826,0.07266884660997505,0.3345462304456053,-0.03858556319005757,-0.024569772594769286,-0.13957924585377196,-0.1967895610351458,-0.2452360406213852,-0.06988085224875457,-0.027000049025069004,-0.023592507633163166,-0.13726211094613,-0.06609418656203273,-0.01124613016849049,0.06456803203974824,0.22811695540398497,-0.10724724404512138,0.05284649801445711,0.18203998622413653,0.02507530863936006,-0.10995481006272835,0.1807114163187677,-0.029470719286244874,0.06438498683932266,-0.11624213043233067,0.43417673740491375,0.22775448251128524,-0.16121603894380912,0.15095051546598995,0.020542292754321845,-0.16865114853818128,0.17408161165801117,0.11483675281520682,0.014013228987871646,-0.11203802538213319,0.16235033426016157,0.15120603871204663,-0.036611295950612056,-0.07195091821037462,0.08576281462077757,-0.08432544123343877,-0.06695911422549422,-0.15685236796699895,-0.13244450621117715
CopyNumberInstability,-0.14343690158616823,-0.011433192370570156,-0.04271847903110373,-0.015452625398966354,-0.22941482043813588,0.10531096782646894,-0.04280530114893808,-0.1680083943269383,-0.15016327802066146,-0.14484694335444928,0.22196884335671443,0.09528401133259742,0.13364811779382485,-0.0107886426828164,-0.062060226158165775,-0.0661322942700824,-0.11215218721731461,0.11066320774612455,-0.25178718472630196,-0.09809877710678937,0.006746751609050828,0.21117786647160766,0.02464849164578725,-0.1194915267789314,-0.02340569481686405,-0.008708577055519452,0.06511521179377833,-0.20838747308035938,-0.028760971575840365,0.025128350420617687,-0.1309908022559071,0.1566908572575988,0.06969690136201785,0.08362577280746061,-0.1747197233462563,-0.07914873265850379,0.13948791267143112,-0.14121681997190633,0.0072160432547850395,0.06405093597950585,0.04911715955084788,0.2595257818254307,0.013890345234429745,0.23241759729022093,0.12720590128151457,0.028085828802222167,-0.22213281244467975,-0.0960494557750806,0.05457527198692284,0.06245096148476512,0.038751780766971305,0.12532735954903987,0.0726622105165556,0.1811372494767996,0.07556567863053655,0.06476747038369834,-0.13362084507224034,-0.11353930537304098,-0.22858719006503664,0.05781058023751857,-0.132516855523491,0.05092778854833297,0.29556577560035063,0.31832047813124803,0.15878837130150047,0.11910894105721904,0.0833331153642139,0.00334341285811794,0.13520310521449913,0.16191033150983944,-0.0625598561831977,-0.02784406478137595,-0.02833755404228774,-0.060753775186212125,-0.02391912618415461,0.08733939001494598,0.29368675736269334,-0.20641054944070503,0.11586201359185429,0.1341458783705529,0.06972456626416983,-0.4115016867725682,0.030747421874241985,0.10630653376682087,-0.20520469734202074,0.04205433938960237,0.047279636539671155,-0.09147926267813747,-0.09308349647684003,0.1426576109377313,0.19844672675123637,0.05666720079787791,-0.1575700763148087,-0.07370171054156992,-0.027504072802992056,0.013410702106077503,-0.15243235775954111,0.21162874568305584,0.12444833497556732,0.22782018907819332
ploidy,-0.0686122131561745,0.0055582915470296914,-0.011627759252366462,-0.005709236079998908,-0.09616239912062459,0.027378093231282374,0.031070646494163565,-0.05512541324667644,-0.06530328473676546,-0.04693370904712134,0.05268986324161576,-0.03843545022558787,0.041560006695215285,0.06761633736642575,-0.036832192362605674,-0.010970045694036399,-0.009103672287429603,0.04909012556630555,-0.07718924459072299,-0.05150143623957887,-0.0182919096800862,0.08053604931926871,-0.004519729852990438,0.0001959401782502838,-0.0261413577736555,-0.035037137364340776,-0.023445808301179993,-0.031122017702144,-0.03902143751414409,-0.010586718889900457,-0.03374304825940899,0.047626926122227235,0.02124626675860582,0.07150703929616567,-0.05602662506218533,-0.006541792155993193,0.03873314894439956,-0.06382201025441227,-0.022769769495271236,0.012880095387368024,0.04396070876622702,0.0676791424334376,-0.04755560463825741,0.07296101241921141,0.08103028301326701,0.030892821291706354,-0.04849091951034938,-0.06590805048960598,0.02411619812622037,-0.013245447454514656,0.008095068686162232,0.06474560505041606,0.0434509343410445,0.04793762495559186,0.01889825990803754,-0.018580606108209427,-0.058981045819288556,-0.03710819739053094,-0.07654697502753376,0.028663808392820917,-0.07056336457212323,0.02869247609640079,0.1379611567539217,0.10194142245302264,0.021188290797238767,0.03624394362813998,0.0748477521451803,0.020110786767850435,0.05940763531563054,0.0935529334665066,-0.0019156167750958846,-0.0752366445562383,-0.04324447399675646,0.008563271203978649,0.011304953231473522,0.006429738814192904,0.13245576101542567,-0.08411668488214126,0.0419706800576514,0.07242501864184618,-0.008660600444175248,-0.1329556083612451,0.04314854987853346,0.07294910654515384,-0.05756397525213372,0.06796217715553064,0.016453858738657217,-0.01400939024355602,-0.05134983065500433,0.0712015799201745,0.047358405573589384,0.056575895857190854,-0.08029952051277008,-0.0228615936983791,-0.044249341247223274,0.04332286526107223,-0.05476915130222563,0.008883305649931996,0.0420828111441906,0.06302980898820892
mutational_burden,0.02325815449418337,0.014009014107894076,-0.02697080655604827,0.11845455795872102,0.10896195186056244,0.02865079801466109,-0.01934024914830913,0.11041481465069072,0.12502215475859374,0.043969558276081504,-0.012197532607393827,-0.01423518510475935,-0.11420598434928161,0.013755603853630286,-0.011307361694598415,0.07409403247077496,-0.07780904312033797,-0.04586374643564261,0.018369503438939394,-0.08724429772899132,-0.08876790509961123,-0.005435127515600297,-0.023689648060913185,0.06591463758157395,0.0003507472511029659,-0.04160477107180095,0.06375029763097156,0.02466864383436496,-0.1906918389027386,-0.018405851492962946,-0.0865116559475279,-0.022862974692735655,0.02012042945888508,-0.08164200235433178,0.06126120787057505,0.012785645658115175,0.03432644300892064,-0.024570272154577442,-0.006827832188754119,0.050802514838366605,-0.14767114238682394,-0.10518474565996348,-0.09618342919448943,-0.1216976744490233,-0.1347161389577647,-0.1663966208391043,0.17766842744596872,-0.016905957096930158,-0.003523180323927031,0.05024782202221472,0.15708849617606346,0.06415163420160773,-0.0071421550251594655,-0.031801920845721254,0.03964154635980499,-0.08649532427197319,0.002254328631328962,-0.05684518498015099,-0.022055447454147042,0.10157190530622585,-0.07509474092643799,-0.015139013367621317,0.0010308909462498543,-0.049797056130435974,0.009113702055052695,-0.11726772555759628,-0.12443422435633891,0.0398782771187552,-0.023612238425438033,-0.11217081270329785,0.076685126744878,-0.026472449535684114,-0.11875343989660947,-0.0157582622644071,-0.05824637345079408,0.02268340983722895,-0.21071381280122511,0.07985936466490388,0.08103699713964331,0.09459223114062429,0.13181845065821748,-0.05462693312705069,-0.0007181171925341979,0.07709113533700493,-0.012733798488363647,-0.01754727385013246,0.05694921067518369,-0.09995734290261366,-0.02354852185429845,-0.025523126485822025,-0.1267038510812279,0.03998680220796457,0.014811038183408893,0.11686890039429636,-0.043580809308472176,0.10348966862772706,0.012849251550175989,-0.02091363584055437,-0.009499704095816183,-0.02060785433849637
growth,-0.0835012927620538,-0.2132987398031101,-0.010559241036578354,-0.004620951466450725,0.15988863674035136,-0.03794748996075725,-0.005818453221482862,0.1961851319410392,0.18235235408228784,0.1696305951278923,-0.21557229306849485,-0.07307563970244135,-0.27651454782310636,-0.0647860175197889,0.026153991608465713,0.06234629953819576,0.04793541574809342,-0.042276916257163684,0.07037239611560771,0.4097645918597412,-0.032535611835368364,-0.21322706517378093,0.03441995137449132,0.04749001998632993,-0.05616734116394229,-0.04186801971484691,0.08495168835500355,0.03290992181875934,-0.02439495829925214,-0.1290160714354234,0.23123448605295252,-0.015644806951049584,0.03542700641411994,-0.11008856130079353,0.10696127679858988,0.0228348235902023,-0.10964258577403634,0.05401607785375953,0.032126297608902066,0.03888035180006176,0.06846217970065815,-0.09611421586812331,-0.34732205236004254,-0.01563991067658349,-0.15632547536341404,-0.028829105919807495,0.17634339840828944,0.04165922005308966,-0.10786983713942831,-0.04863099860947605,-0.06376731791777018,-0.15126925932095195,0.030048479782981936,-0.009958507226226597,0.052198257231242357,-0.012219295353611189,0.17056953628324542,0.1733581736462979,0.16675348094784234,0.04468697176515595,-0.053045148593058415,0.11006013263781063,-0.15092443068053255,-0.0512647574620948,-0.08277650178770701,-0.11306840509184374,-0.1375332820489189,-0.10812017453246925,-0.18570286509134534,0.11555495855479085,0.10180140902583087,0.025556841838942117,0.08919237325814472,-0.07686256605048924,-0.03534417597572573,-0.1253844883542634,-0.1403133575446472,0.09170191002454582,-0.03940639175151518,-0.09259329218643653,-0.08345075271302999,0.20538462863570572,0.20464416610454753,0.006194579528187234,0.1469556610000408,-0.019432936729885792,0.03941888885207704,0.11119635709819904,0.05809715890872594,-0.010108142535459948,-0.0804684197588157,0.2277713998087354,-0.0620220120157582,0.01628123980892338,-0.0067119154802233166,0.09522928299112682,0.02300600491413579,-0.1506528128931829,-0.002539762896462752,0.020333389582766103
size,-0.20083042235224918,-0.14899009951630338,0.026988759044495658,-0.009995944827240226,-0.13863915055308532,0.0008691908490137148,0.027706104718791133,-0.15830167303638637,-0.1463355078277698,-0.1186471260281087,0.00585061640285888,0.03628207096415076,0.06374094507137579,0.08484491208406328,-0.08466950908497743,-0.03169476653694445,-0.08546792811572838,0.08690382471038013,-0.2136872926977748,-0.12309217394756314,0.004489602047224637,0.18959814306998948,-0.1094584472751706,-0.11895104984708314,-0.12915619158587094,0.09619863984419816,-0.09023405919853747,-0.003832898518836151,0.021881407451584765,0.13804097253968703,0.08893203397976551,-0.030993918463433343,0.0641754145488998,0.07207116660250101,-0.12177156867629178,0.08259383388088218,0.003101864834652071,-0.028560407531565322,-0.19043903153480804,-0.04634454115538958,0.05465398584184894,0.16172504313060834,-0.13079528060914747,0.16736740809316886,0.12082316630181363,0.21303951080511463,-0.18770763060570664,-0.09128656466133747,-0.06586446780539809,-0.045051913212673614,0.05674581146157236,0.016950859744451992,0.07958851148282524,0.08606597051510682,-0.01878437643823614,0.15887080812704893,-0.04140977752276701,-0.017782882101845303,-0.10718777525726714,-0.03273982886122275,0.03887864098825253,0.21938067171026407,0.21967016036820358,0.19568781284864867,-0.010397870007613105,-0.02919838175362471,-0.026709880231790075,0.15512052857834785,0.005288334270967789,0.07861917790470425,0.00780444264384562,-0.02538273125646284,-0.14423559733424993,0.11624813304455348,0.08848654951365362,0.00946624822022841,0.448638810782282,-0.22311399936623114,0.010945528801744962,0.03310159717304109,0.019154525268273843,-0.22136183225816664,0.10684327775661906,0.03972895515332022,-0.09378416717948074,-0.01913515318134233,-0.0792937620467871,0.11977492622923686,0.021120999332187095,0.03091777915388558,0.03661635392501056,-0.030585045264133602,-0.16971999363948395,0.030531085686893448,-0.010399436911182,0.14953063074098752,0.005451972905553444,0.11533220378611955,0.12958728443766582,0.12577446567327702
RepsCorrelation,-0.006407098991697083,-0.003226978226531801,-0.03932703917586036,0.04281095204601239,0.09733545116808716,-0.050151415989246724,0.07042069699434685,0.07014288581292547,0.054862700734585185,0.06809798830187958,-0.024289211260628822,-0.20034875283536946,-0.12455156489382725,0.018894143925242544,0.07553650299784809,-0.05492238107220572,0.04474989973666742,0.01770448772580992,0.07171744732076,-0.04240421230793109,0.03174603473140023,-0.17041952387618287,-0.02235187756652015,-0.05688790113263972,0.03869240492170124,-0.15198154852092935,0.23974495583928457,-0.0012486402486791644,0.0027600105914486702,-0.041323972301045155,0.0660008013499764,0.05837021447379759,0.011673132218186406,-0.09223232769059628,0.09168430115233454,-0.02342089673649224,-0.0009460458351587138,0.16775824283544016,0.18307302296312467,0.10417623283896602,0.012787725969419945,-0.20019984668243168,0.038705036209204416,-0.25067655223839835,-0.07534357172134594,-0.1461813743673422,0.09970217609857988,0.006212119177796871,0.06457032802743633,-0.13612178786289333,-0.04354708378099654,-0.07080080642465536,-0.06327976121133501,-0.09635358397694781,0.04712717963597568,-0.13536982432273376,-0.03785526593724682,-0.14650776021303002,0.1579667799792575,0.024917497824878527,-0.045387342922974486,-0.264314619806796,-0.14853834157021406,-0.2052752777357598,-0.042385420539655466,0.07097363575765935,0.10508953610074877,-0.004565504892830756,-0.0022516170278286006,-0.0531025168289647,0.16485464710013828,0.09106625255466352,-0.03461418074060618,-0.14144797336339665,0.010000870426779912,0.009018262959568563,-0.165635281018579,0.05011926060628341,-0.028223060099869624,-0.01838735826921098,-0.006463735538090994,0.1460645290257309,0.07624826529066474,0.0028570175462201935,0.06815868487189121,-0.01308837834200988,-0.012703789297362421,-0.07534714109290601,-0.04743147543844074,-0.025090606119435876,-0.009648509351900297,0.022855874272716042,0.16253640190501575,-0.030894756645938718,-0.14684101944134506,-0.07862333511565983,-0.2093191125039655,-0.11012187691022952,-0.02825252157347058,-0.21503465863997584
CDH1_prot,-0.17264729870410978,0.09340313556177164,-0.01895374396976913,0.1347129180861664,-0.08065719995134352,0.06662898625704862,0.0058553963259971795,-0.11907874292084931,-0.02733218383432664,0.05650927259038493,0.08575533035302443,0.15511989228371145,-0.0314185030626939,0.08678509541708308,0.03551474417600346,-0.13685819225054674,0.10885209682270919,-0.0019240124878618999,-0.06855609385122102,-0.008467995755325735,-0.02624281538972068,0.2452379674203338,-0.03889065578913317,0.26143683489215863,0.007274011702890825,-0.003830373164378238,-0.21318365180683344,-0.09753092125769446,0.03956844576407455,-0.10312008209571531,-0.050954749346395385,0.036302693132172145,0.1215944447519028,0.015810578101678616,-0.15143668418958534,0.0741304236499018,0.06043450725850572,-0.12576696259833367,-0.24164022908469443,-0.022322218362214048,0.20192835788341224,0.06222374335516378,-0.264078866478759,0.21839619107677183,-0.0057636724444940935,-0.012364491314777935,-0.048664311383515825,0.11158317304620613,-0.11769681144043594,0.010392439813239104,-0.06415918851421876,0.15948601455246753,0.15711284812546142,0.1786357888398227,0.06485471618440179,0.05073817661372443,0.06573745658279763,0.11997790016551821,-0.08212295014081343,0.07219813967037711,-0.17582848190898095,0.1393720009113171,0.13969521734212645,0.1865217156426942,-0.022710041623610205,-0.16482360515940905,-0.30991561877515117,-0.22126251212787468,-0.06465771716010728,0.16408423275190664,-0.042600237119951825,-0.02276818565270273,-0.19214403823005893,0.12718289170110478,-0.23830332025428744,0.010320129111337655,-0.0291118938170308,0.009570576042242354,0.08102493194062542,0.178491763954242,-0.16632578138233775,-0.37976482057607286,0.30557024168610164,0.2090553417332129,-0.18930982743911753,0.04474143655800466,0.1145655394143055,-0.022868531923213847,-0.0875230450080697,0.17860184969416926,-0.1360281342424449,0.06759438027449623,-0.14087993719187264,0.15304308963412258,-0.14647697087194597,0.23040655612979682,0.2756435714109905,-0.06161416520656202,0.07886233650200898,-0.1486642727157047
VIM_prot,-0.11687711744981776,-0.24222414193453462,-0.030624032710857355,-0.18213239853927696,-0.04647799822599264,-0.19960439137445157,-0.008985846653514441,0.025400028506766942,0.02179781035037281,-0.015536681659410093,-0.21124525464403857,-0.10293826580620159,0.04460296013613091,0.11032851421117597,-0.13062312163277218,-0.01005674334546805,-0.12898537780932043,0.12486477668023184,0.03891114170010004,-0.0145053472928625,-0.05697673273092193,-0.07961834594512852,-0.1539584231948032,-0.2830889991013724,-0.04253965400202409,0.21781997352222665,-0.017866264673724843,0.2381885231444084,-0.009517030524695538,0.17115131837133093,0.24989306401793587,-0.18451041995707013,0.04583063005236152,-0.1795908058155265,0.08986501934233523,0.0836976433369765,-0.058932000783912517,0.18193118786568518,-0.12918237372384847,-0.12677781194168325,-0.016618296608894956,0.05129701791736609,-0.16053384666198,0.04784740571974776,-0.029727270911729036,0.2054487123973208,0.05874385318806823,-0.09978745583025588,-0.24522584369242106,-0.14973729743504413,0.07733378543303801,-0.14934332570285522,0.00702275309528285,-0.025334865343523503,-0.10481884362055574,0.09360210370388516,-0.1018687124428416,0.014622835778351474,0.2438988576140783,-0.04127509691412973,0.11909988810073303,0.1322768308180643,-0.034177313615194306,-0.10654695304222471,-0.08340588415250463,-0.048320695920830915,0.14750038926774256,0.16980353150785796,-0.053718637107173874,0.006162223449612503,0.03777389276603818,0.0009700280747021741,-0.052331854325146504,0.09334823310395474,0.11481657664455118,-0.0014964306032540266,0.45175631248042847,-0.012170210849142023,-0.061905290210448806,-0.04791864088019585,-0.036307806107869156,0.36320282233239376,0.017388385289017046,-0.047896497658859116,0.17231530156418018,0.02506711209975613,-0.08418981918632211,0.2979592638206462,0.1682839389566747,-0.06253612875394302,-0.10408918792930165,0.0368141703414318,-0.15441145733999936,0.006801231576241971,0.07082179280437559,0.11126026789185478,0.055700162135644486,0.009450197408526107,-0.05433176265874891,0.07579068970464839
