train_total,train_mse,train_kl,val_total,val_mse,val_kl,epoch
5.549044,5.5325885,0.016455466,5.374138,5.3548365,0.019301865,0
4.878774,4.847664,0.031109834,4.781745,4.7504306,0.03131517,1
4.462748,4.4219885,0.040759142,4.3905325,4.3510957,0.03943699,2
4.1670423,4.120127,0.046914928,4.105863,4.0610704,0.044792693,3
3.9318438,3.8777454,0.054097366,3.8747635,3.8232124,0.05155074,4
3.7274482,3.66599,0.061457865,3.6703477,3.611888,0.05845966,5
3.5318685,3.4625769,0.06929162,3.468433,3.4029882,0.065444745,6
3.3343391,3.2566001,0.077739075,3.2697484,3.1966658,0.07308294,7
3.146195,3.0600939,0.086101085,3.0822368,3.0018692,0.08036802,8
2.96295,2.868335,0.094615445,2.8976412,2.8078496,0.08979154,9
2.7967858,2.6946623,0.102123216,2.7411227,2.6451273,0.09599562,10
2.635639,2.5260742,0.109565236,2.5793946,2.4767528,0.10264158,11
2.4826818,2.3670955,0.11558674,2.4260952,2.3188574,0.10723767,12
2.3369346,2.216215,0.12071959,2.2838392,2.1711416,0.112697616,13
2.209435,2.0847971,0.124637894,2.160358,2.044207,0.11615112,14
2.0944166,1.9661493,0.12826726,2.048635,1.9294631,0.11917181,15
1.9914582,1.8608029,0.13065542,1.9484026,1.8268763,0.12152626,16
1.9010226,1.7684115,0.13261117,1.862842,1.7397735,0.12306839,17
1.8214236,1.6873496,0.13407406,1.7858117,1.6617197,0.12409188,18
1.750918,1.6161288,0.1347892,1.7203594,1.5950875,0.12527183,19
1.6894686,1.554034,0.13543442,1.6567625,1.531115,0.12564746,20
1.6228864,1.4873831,0.13550328,1.5929732,1.466813,0.12616014,21
1.5688523,1.4334716,0.13538058,1.5413558,1.4156557,0.1256998,22
1.5205479,1.3851221,0.13542579,1.4946485,1.3688707,0.12577777,23
1.476536,1.3417284,0.13480748,1.4510896,1.3266765,0.124413215,24
1.4340769,1.300026,0.13405085,1.411654,1.2860807,0.12557329,25
1.3954247,1.2618119,0.13361287,1.3731577,1.2494825,0.12367519,26
1.3620324,1.2292002,0.132832,1.3418207,1.218436,0.1233847,27
1.3305788,1.198527,0.13205187,1.3096671,1.1871274,0.12253984,28
1.3035053,1.1723112,0.13119398,1.2829375,1.1615819,0.12135566,29
1.281207,1.1506041,0.13060267,1.2650267,1.1437184,0.12130815,30
1.2552857,1.1255054,0.12978023,1.2368648,1.117026,0.11983895,31
1.2296716,1.1009477,0.12872382,1.2128333,1.0924321,0.12040112,32
1.2093656,1.0815188,0.12784685,1.190313,1.07188,0.118432984,33
1.1905155,1.0632926,0.1272229,1.1740222,1.0564134,0.11760887,34
1.1755878,1.0491842,0.12640351,1.1595541,1.0421592,0.11739501,35
1.1548977,1.0295293,0.12536837,1.1395217,1.0229251,0.116596594,36
1.1348746,1.0101639,0.124711,1.1200942,1.0050169,0.115077436,37
1.1184461,0.9947856,0.12366037,1.1022474,0.9872605,0.11498675,38
1.1004499,0.97741836,0.12303175,1.0864065,0.97263163,0.113774925,39
1.0882441,0.96602696,0.12221712,1.0736973,0.9601236,0.11357371,40
1.0723094,0.9509143,0.12139503,1.0562427,0.94321597,0.11302673,41
1.056108,0.9356346,0.12047336,1.042195,0.92962646,0.11256851,42
1.0427705,0.9227528,0.12001758,1.0315148,0.92032915,0.111185424,43
1.0340092,0.9148436,0.119165644,1.0209502,0.9096044,0.11134587,44
1.0227667,0.9042331,0.118533686,1.008286,0.8979159,0.11037012,45
1.0106187,0.8926297,0.11798898,0.998922,0.8888347,0.11008716,46
0.99997646,0.88296235,0.117014065,0.9858612,0.8768378,0.109023586,47
0.98857194,0.8721284,0.116443805,0.97702754,0.8675639,0.10946367,48
0.97603637,0.8600874,0.115949035,0.96282405,0.85500634,0.107817546,49
0.96456647,0.84942716,0.11513929,0.9513043,0.84500706,0.10629717,50
0.95229024,0.83771193,0.11457848,0.9397675,0.83380425,0.10596319,51
0.94083667,0.8269219,0.11391487,0.92937297,0.82393104,0.10544194,52
0.9346382,0.82129437,0.11334383,0.92300636,0.81718934,0.105816945,53
0.9254482,0.81257904,0.11286904,0.9126908,0.80804205,0.104648784,54
0.9162784,0.8039503,0.11232824,0.90508443,0.8010539,0.10403053,55
0.90746707,0.7957547,0.11171242,0.8953969,0.791673,0.10372389,56
0.9004312,0.7892466,0.11118475,0.8895843,0.7863241,0.1032602,57
0.8959299,0.78532964,0.11060015,0.8858625,0.7822253,0.10363718,58
0.89301366,0.7827474,0.11026638,0.8812363,0.77852803,0.10270827,59
0.88255066,0.77291995,0.109630704,0.8716334,0.7701256,0.10150781,60
0.87371457,0.76468575,0.10902878,0.86152977,0.7599052,0.1016246,61
0.86491627,0.7565165,0.108399756,0.8542834,0.7534944,0.100789,62
0.8577209,0.7497435,0.10797712,0.84689814,0.7461743,0.10072398,63
0.85061985,0.743079,0.107540764,0.83858156,0.73926616,0.09931543,64
0.844198,0.7371688,0.10702921,0.83361065,0.73372966,0.09988097,65
0.83640885,0.7299023,0.106506556,0.82580304,0.7274466,0.0983565,66
0.825424,0.7195477,0.10587637,0.81402236,0.7155701,0.098452136,67
0.81741524,0.7117143,0.10570091,0.8059202,0.7077089,0.098211326,68
0.81034976,0.70538783,0.104961924,0.79894364,0.70131177,0.09763195,69
0.8059612,0.7011866,0.10477463,0.7968415,0.69951046,0.097330965,70
0.80375886,0.69963706,0.10412187,0.7930478,0.69618595,0.09686167,71
0.8003978,0.6966723,0.10372538,0.79068303,0.69289535,0.09778764,72
0.7972997,0.6938788,0.103420734,0.7887746,0.692218,0.09655653,73
0.7938173,0.69096595,0.102851294,0.7804413,0.6844581,0.095983244,74
0.7819268,0.6794454,0.10248149,0.7704709,0.6755387,0.09493215,75
0.7770508,0.6751356,0.10191519,0.76628476,0.6709923,0.09529246,76
0.77237946,0.6707542,0.10162525,0.7620945,0.66800654,0.09408797,77
0.76431614,0.6632643,0.10105184,0.7539708,0.6596257,0.09434511,78
0.7568457,0.65612316,0.10072263,0.74683595,0.6531655,0.09367043,79
0.7516958,0.651376,0.10031987,0.74153584,0.6486978,0.09283802,80
0.74537176,0.64558434,0.099787354,0.73486024,0.64237595,0.0924843,81
0.74059266,0.64106077,0.099531874,0.72993934,0.63767654,0.092262864,82
0.73759276,0.6386793,0.098913446,0.7283816,0.6366199,0.09176158,83
0.7366617,0.6379908,0.098670945,0.7269367,0.63551575,0.09142092,84
0.73219615,0.6338957,0.09830047,0.72328305,0.6324165,0.090866566,85
0.7257118,0.6278347,0.09787718,0.71521896,0.6247216,0.09049738,86
0.7208098,0.6232143,0.09759551,0.709941,0.619283,0.09065801,87
0.71822727,0.6211198,0.09710759,0.7092499,0.618703,0.090546966,88
0.71578664,0.6190489,0.09673773,0.70672274,0.61616415,0.090558544,89
0.7104643,0.6140307,0.09643349,0.7011859,0.6115306,0.08965533,90
0.7070563,0.61117774,0.09587861,0.69744503,0.6078782,0.08956687,91
0.7056957,0.6099762,0.09571952,0.6971588,0.6080632,0.08909568,92
0.6998867,0.6045518,0.095334925,0.69061977,0.6021173,0.08850242,93
0.6949783,0.60013103,0.09484726,0.68623173,0.5975087,0.08872305,94
0.6895992,0.59518176,0.094417416,0.67933303,0.5912502,0.0880828,95
0.68400794,0.58984375,0.09416419,0.67495483,0.5879537,0.08700115,96
0.6821344,0.58828336,0.09385109,0.6731863,0.5863083,0.086878,97
0.6802584,0.58677346,0.0934849,0.6715312,0.58467495,0.086856164,98
0.6776906,0.5844547,0.09323603,0.66891587,0.58205277,0.08686306,99
0.6748884,0.5821247,0.092763685,0.6660534,0.5795799,0.08647357,100
0.6701388,0.57764,0.09249886,0.6638975,0.57728976,0.08660771,101
0.66691417,0.5746867,0.09222744,0.6580394,0.57192546,0.08611385,102
0.66158116,0.569666,0.09191506,0.6525742,0.5676572,0.084916964,103
0.6575322,0.56602705,0.09150521,0.6464903,0.5611615,0.08532875,104
