,corr,pval,len,sample,impute
229,0.6303376239827223,0.0,4122,SIDM01060,vae_imputed
924,0.6497415453725928,0.0,3116,SIDM00505,original
345,0.5788539733079204,0.0,4097,SIDM00996,vae_imputed
338,0.592194916424277,0.0,4083,SIDM01038,mofa_imputed
144,0.6897596111935426,0.0,3136,SIDM00513,original
145,0.5612689807997201,0.0,4129,SIDM00513,vae_imputed
337,0.6111341016265621,0.0,4083,SIDM01038,vae_imputed
918,0.664955451795232,0.0,4135,SIDM00081,mofa_imputed
917,0.6727751774213838,0.0,4135,SIDM00081,vae_imputed
925,0.6186087326038696,0.0,4096,SIDM00505,vae_imputed
916,0.698898746875887,0.0,2935,SIDM00081,original
153,0.5830289056546389,0.0,4097,SIDM00693,vae_imputed
157,0.5501924769065119,0.0,4134,SIDM00677,vae_imputed
689,0.5550923782786179,0.0,4140,SIDM00799,vae_imputed
704,0.5938899306861376,0.0,3442,SIDM00247,original
318,0.5595002012499652,0.0,4120,SIDM00837,mofa_imputed
172,0.6177826971757503,0.0,3350,SIDM00920,original
173,0.5578942324916186,0.0,4138,SIDM00920,vae_imputed
317,0.569007479809784,0.0,4120,SIDM00837,vae_imputed
152,0.6345253742860006,0.0,3158,SIDM00693,original
926,0.6259032713001222,0.0,4096,SIDM00505,mofa_imputed
646,0.5995656688277023,0.0,4133,SIDM00124,mofa_imputed
634,0.597566408872648,0.0,4135,SIDM00676,mofa_imputed
1008,0.6755148493400224,0.0,2891,SIDM00611,original
386,0.6409059280246253,0.0,4129,SIDM00335,mofa_imputed
990,0.6417953925233949,0.0,4123,SIDM00875,mofa_imputed
989,0.6706479233768522,0.0,4123,SIDM00875,vae_imputed
988,0.7156853895043767,0.0,2836,SIDM00875,original
385,0.6326492902142096,0.0,4129,SIDM00335,vae_imputed
384,0.677743269948886,0.0,3199,SIDM00335,original
375,0.5620410654257871,0.0,4122,SIDM00447,mean
374,0.6251244774796229,0.0,4122,SIDM00447,mofa_imputed
373,0.6883761845228145,0.0,4122,SIDM00447,vae_imputed
372,0.6764218754717604,0.0,2964,SIDM00447,original
628,0.6461687141402079,0.0,3248,SIDM01059,original
629,0.6032354302043242,0.0,4129,SIDM01059,vae_imputed
630,0.5788200701051464,0.0,4129,SIDM01059,mofa_imputed
633,0.6460242213273063,0.0,4135,SIDM00676,vae_imputed
945,0.5498912498846892,0.0,4127,SIDM00272,vae_imputed
944,0.6105840927863005,0.0,3289,SIDM00272,original
120,0.6285908181744532,0.0,2975,SIDM00327,original
121,0.5964285901641189,0.0,4091,SIDM00327,vae_imputed
316,0.6206647169034231,0.0,3146,SIDM00837,original
1009,0.6097758169502313,0.0,4119,SIDM00611,vae_imputed
181,0.5514832951504655,0.0,4115,SIDM01184,vae_imputed
184,0.7232148823699596,0.0,3080,SIDM00898,original
225,0.7284748134877015,0.0,4097,SIDM00407,vae_imputed
226,0.648318271812942,0.0,4097,SIDM00407,mofa_imputed
227,0.554881111120663,0.0,4097,SIDM00407,mean
228,0.6714921068497095,0.0,3129,SIDM01060,original
